risk_id,loan_id,customer_id,risk_grade,pd,lgd,ead,ecl,risk_weight,rwa,provision_amount,assessment_date_id,basel_category
RISK00045,LOAN00045,CUST0864,AAA,0.0237,0.5713,348641.79,4720.54,0.5502,510279.89,4616.32,20240616,Sovereign
RISK00046,LOAN00046,CUST1000,AAA,0.0729,0.3747,79049.97,2159.3,0.4659,53888.35,2214.27,20240731,SME
RISK00047,LOAN00047,CUST0118,BB,0.4034,0.5009,120033.96,24254.43,1.2317,133675.35,25050.9,20240620,Sovereign
RISK00048,LOAN00048,CUST0876,AAA,0.01,0.3799,99764.64,379.01,1.1139,53904.29,381.02,20240208,Sovereign
RISK00049,LOAN00049,CUST0390,AAA,0.0644,0.4217,242704.27,6591.24,0.7534,178802.56,6942.66,20240217,Sovereign
RISK00050,LOAN00050,CUST0288,AAA,0.0212,0.4888,88061.88,912.55,1.4904,117930.79,886.08,20240618,SME
RISK00051,LOAN00051,CUST0104,A,0.235,0.6082,280983.82,40160.17,0.5466,266657.86,42073.01,20240311,Sovereign
RISK00052,LOAN00052,CUST0370,AAA,0.0106,0.5518,18496.45,108.19,1.4989,10840.73,117.71,20240903,Corporate
RISK00053,LOAN00053,CUST0043,AAA,0.0725,0.6959,75733.92,3820.98,0.8244,69613.16,3844.9,20250430,Sovereign
RISK00054,LOAN00054,CUST0739,BB,0.4179,0.5241,54594.63,11957.39,0.2965,72212.95,12334.53,20241119,SME
RISK00055,LOAN00055,CUST0375,D,0.95,0.3668,194014.78,67606.39,1.2877,248979.29,73695.91,20250429,Retail
RISK00056,LOAN00056,CUST0991,BBB,0.3828,0.513,35003.69,6873.9,1.1933,34167.76,6239.74,20250414,Retail
RISK00057,LOAN00057,CUST0077,AAA,0.0572,0.5368,105602.49,3242.52,1.4465,33435.64,3316.71,20240608,SME
RISK00058,LOAN00058,CUST0951,AAA,0.0119,0.3896,235993.47,1094.12,0.8661,63944.31,1164.5,20240101,Corporate
RISK00059,LOAN00059,CUST0299,BBB,0.3976,0.3996,326460.37,51868.34,0.2614,392500.7,53522.12,20250216,SME
RISK00060,LOAN00060,CUST0548,A,0.2216,0.5888,140479.15,18329.45,0.7032,32320.96,19276.14,20240512,Corporate
RISK00061,LOAN00061,CUST0627,D,0.95,0.6886,162153.05,106075.66,0.7318,108459.98,106799.77,20240208,Retail
RISK00062,LOAN00062,CUST0889,AAA,0.0221,0.4075,149049.46,1342.3,0.6504,176042.82,1210.23,20240907,Corporate
RISK00063,LOAN00063,CUST0828,AAA,0.0459,0.6262,49885.22,1433.83,1.1763,60396.26,1443.32,20240326,Sovereign
RISK00064,LOAN00064,CUST0584,BB,0.4021,0.3751,231068.52,34851.54,1.4046,171650.41,33694.02,20240106,SME
RISK00065,LOAN00065,CUST0437,AAA,0.0384,0.344,11828.54,156.25,0.5897,17597.05,160.39,20240802,Retail
RISK00066,LOAN00066,CUST0851,BBB,0.3343,0.6167,60502.45,12473.36,0.8418,26417.97,11343.01,20250423,Retail
RISK00067,LOAN00067,CUST0838,BBB,0.3641,0.4916,25862.99,4629.26,1.3899,11471.86,5047.12,20250415,Corporate
RISK00068,LOAN00068,CUST0557,AAA,0.0415,0.3005,54765.84,682.97,0.9365,14218.96,720.97,20241206,Corporate
RISK00069,LOAN00069,CUST0233,A,0.2568,0.4967,57145.45,7289.05,0.8232,34407.34,7599.13,20250203,Corporate
RISK00070,LOAN00070,CUST0230,CC,0.7562,0.5418,19122.89,7834.82,0.2331,25955.41,8275.46,20241213,Retail
RISK00071,LOAN00071,CUST0544,AAA,0.0271,0.4997,152106.5,2059.81,0.2479,102095.23,2217.31,20240810,Sovereign
RISK00072,LOAN00072,CUST0272,AAA,0.0721,0.6142,0.0,0.0,0.9155,0.0,0.0,20250315,Retail
RISK00073,LOAN00073,CUST0069,AAA,0.0353,0.4977,391723.39,6882.11,0.2791,269304.91,7451.25,20240522,SME
RISK00074,LOAN00074,CUST0997,AAA,0.0493,0.5145,42038.21,1066.29,0.2927,36439.69,1098.0,20240221,SME
RISK00075,LOAN00075,CUST0086,AA,0.1902,0.3011,36238.46,2075.35,0.6558,30410.61,2079.46,20240925,Corporate
RISK00076,LOAN00076,CUST0018,AAA,0.0779,0.3557,433263.33,12005.31,0.9544,645038.43,11692.43,20240123,Retail
RISK00077,LOAN00077,CUST0856,D,0.95,0.451,1982.86,849.56,0.8925,1142.5,888.91,20240807,SME
RISK00078,LOAN00078,CUST0989,AAA,0.0147,0.3565,297508.84,1559.11,1.461,383930.52,1455.97,20241227,Corporate
RISK00079,LOAN00079,CUST0013,AAA,0.047,0.589,14355.45,397.4,1.3468,19128.44,403.14,20240206,SME
RISK00080,LOAN00080,CUST0661,AAA,0.0396,0.4694,74065.57,1376.75,1.4741,57989.86,1240.39,20250403,Sovereign
RISK00081,LOAN00081,CUST0466,CCC,0.6938,0.3368,101666.62,23756.63,0.834,94286.99,21610.52,20240419,Corporate
RISK00082,LOAN00082,CUST0974,A,0.2226,0.6367,85444.18,12109.95,0.2523,65821.15,13233.7,20241003,Retail
RISK00083,LOAN00083,CUST0480,AAA,0.0104,0.4451,56311.97,260.67,0.2259,26022.61,256.13,20250203,Corporate
RISK00084,LOAN00084,CUST0344,BBB,0.3642,0.5207,62976.34,11942.77,0.3,72269.52,12482.35,20240629,Corporate
RISK00085,LOAN00085,CUST0034,AAA,0.01,0.4234,121864.68,515.98,0.8909,43370.08,501.7,20240922,Corporate
RISK00086,LOAN00086,CUST0770,AAA,0.0331,0.6586,21006.15,457.93,1.0207,9995.43,467.56,20240612,Corporate
RISK00087,LOAN00087,CUST0515,AAA,0.0885,0.3373,337743.6,10082.0,0.8804,408124.48,11036.76,20250311,SME
RISK00088,LOAN00088,CUST0906,A,0.2318,0.6721,39732.65,6190.06,0.63,20022.04,5949.51,20250103,Corporate
RISK00089,LOAN00089,CUST0805,A,0.235,0.3956,86324.48,8025.24,1.4515,67680.92,8767.43,20240925,Retail
RISK00090,LOAN00090,CUST0622,B,0.5547,0.6876,269797.48,102903.92,0.984,124881.55,111800.54,20240420,Corporate
RISK00091,LOAN00091,CUST0090,AAA,0.01,0.5843,106478.64,622.15,1.3825,72639.15,589.11,20240522,Corporate
RISK00092,LOAN00092,CUST0485,AAA,0.0287,0.4636,269446.6,3585.07,1.1952,369139.89,3300.06,20241222,Retail
RISK00093,LOAN00093,CUST0697,A,0.2173,0.4051,122767.93,10807.04,0.4052,180556.12,10438.86,20250327,Sovereign
RISK00094,LOAN00094,CUST0699,B,0.5291,0.3633,105495.55,20278.57,0.2548,82081.18,21408.21,20250129,Sovereign
RISK00095,LOAN00095,CUST0075,CC,0.7132,0.3343,107833.92,25710.06,1.4965,29878.55,26326.62,20250124,Retail
RISK00096,LOAN00096,CUST0940,AA,0.1879,0.5965,62337.18,6986.9,1.4903,30008.83,7466.07,20250123,Corporate
RISK00097,LOAN00097,CUST0466,AAA,0.038,0.6746,272253.55,6979.17,1.2922,404208.78,6316.14,20240605,Corporate
RISK00098,LOAN00098,CUST0441,AAA,0.01,0.3277,0.0,0.0,0.4373,0.0,0.0,20241207,Retail
RISK00099,LOAN00099,CUST0306,AAA,0.0429,0.6853,168461.68,4952.67,0.8746,74580.98,5351.44,20241029,Sovereign
RISK00100,LOAN00100,CUST0204,AAA,0.057,0.6292,184662.68,6622.82,1.0399,189506.81,6353.89,20250223,Corporate
RISK00101,LOAN00101,CUST0916,D,0.95,0.5971,271625.83,154078.39,0.6667,337000.13,168539.19,20241218,Sovereign
RISK00102,LOAN00102,CUST0325,D,0.95,0.5083,222814.22,107593.64,0.8549,123235.06,98705.77,20241221,Sovereign
RISK00103,LOAN00103,CUST0462,D,0.95,0.5184,269428.94,132688.36,0.5723,138618.65,128561.27,20250412,SME
RISK00104,LOAN00104,CUST0387,AAA,0.0302,0.4228,118304.54,1510.58,0.8482,97371.13,1383.09,20240818,SME
RISK00105,LOAN00105,CUST0128,D,0.95,0.6705,44770.73,28517.84,1.3503,24484.83,28285.64,20250402,Corporate
RISK00106,LOAN00106,CUST0383,A,0.2104,0.4133,49884.91,4337.91,0.4595,59855.57,3975.78,20250326,SME
RISK00107,LOAN00107,CUST0948,A,0.229,0.5179,19585.93,2322.87,1.4604,26280.39,2261.9,20240304,SME
RISK00108,LOAN00108,CUST0516,AAA,0.0196,0.4878,222304.5,2125.43,1.2794,102294.41,2265.96,20250525,SME
RISK00109,LOAN00109,CUST0991,AAA,0.0307,0.6611,6223.14,126.3,1.3789,9010.4,135.96,20250524,Retail
RISK00110,LOAN00110,CUST0690,BB,0.4153,0.54,3037.94,681.29,0.4763,1609.03,726.9,20240810,Sovereign
RISK00111,LOAN00111,CUST0983,BB,0.4135,0.5311,49716.09,10918.14,0.9383,64432.72,10011.23,20240510,Corporate
RISK00112,LOAN00112,CUST0652,AAA,0.0504,0.5526,135259.58,3767.12,1.3757,143213.64,3741.23,20240825,Retail
RISK00113,LOAN00113,CUST0864,AAA,0.0593,0.3111,65410.14,1206.7,0.7745,44614.93,1149.1,20241207,Sovereign
RISK00114,LOAN00114,CUST0943,BBB,0.352,0.561,8554.94,1689.36,1.1408,10394.07,1736.37,20241108,Retail
RISK00115,LOAN00115,CUST0199,AA,0.1942,0.674,175985.03,23034.82,0.5415,63639.05,22150.09,20241128,Retail
RISK00116,LOAN00116,CUST0654,AAA,0.01,0.4977,45400.86,225.96,0.3269,57810.99,233.21,20240410,SME
RISK00117,LOAN00117,CUST0859,AA,0.1877,0.468,209877.12,18436.36,0.98,249523.29,19738.32,20240314,SME
RISK00118,LOAN00118,CUST0649,A,0.2521,0.3469,61948.11,5417.58,0.8277,73877.17,4954.85,20250330,SME
RISK00119,LOAN00119,CUST0356,AAA,0.01,0.5047,174081.2,878.59,1.2607,125674.75,835.07,20250402,SME
RISK00120,LOAN00120,CUST0888,CCC,0.6934,0.4926,16842.41,5752.84,1.3337,15347.89,5526.52,20240917,Corporate
RISK00121,LOAN00121,CUST0357,AAA,0.0173,0.5748,120406.58,1197.33,0.9962,142540.56,1168.31,20240326,Retail
RISK00122,LOAN00122,CUST0288,D,0.95,0.6531,295420.13,183291.94,0.8686,383046.54,193814.38,20250514,SME
RISK00123,LOAN00123,CUST0766,AAA,0.0819,0.4798,98473.89,3869.59,0.9192,118039.29,4251.78,20241113,Corporate
RISK00124,LOAN00124,CUST0982,AAA,0.0115,0.6236,17192.33,123.29,0.2575,19625.56,131.68,20240502,Corporate
RISK00125,LOAN00125,CUST0191,AAA,0.01,0.4315,89856.67,387.73,1.4124,84825.28,420.57,20241207,Retail
RISK00126,LOAN00126,CUST0815,AAA,0.0608,0.6533,27207.88,1080.71,1.3729,5889.98,1078.69,20240505,Sovereign
RISK00127,LOAN00127,CUST0077,AAA,0.0499,0.6961,41028.09,1425.13,1.1084,20293.37,1431.32,20250130,Corporate
RISK00128,LOAN00128,CUST0128,AAA,0.0576,0.3019,25695.71,446.83,0.6921,12672.26,459.23,20240930,Retail
RISK00129,LOAN00129,CUST0135,AAA,0.0415,0.4204,122385.75,2135.22,1.4263,38561.37,2267.16,20240212,Retail
RISK00130,LOAN00130,CUST0355,A,0.2121,0.6395,335431.56,45497.25,0.8017,331530.36,47094.17,20240414,Corporate
RISK00131,LOAN00131,CUST0125,D,0.95,0.5897,16978.75,9511.75,1.0291,12955.28,8707.57,20241124,SME
RISK00132,LOAN00132,CUST0091,B,0.526,0.614,404950.81,130784.53,0.3536,391472.21,126637.65,20240425,Sovereign
RISK00133,LOAN00133,CUST0970,A,0.2592,0.5334,22857.15,3160.17,0.5514,18835.65,3348.55,20240725,Sovereign
RISK00134,LOAN00134,CUST0327,A,0.2188,0.3962,173938.02,15078.44,1.0283,211933.39,14518.51,20250406,Corporate
RISK00135,LOAN00135,CUST0502,AAA,0.0242,0.5589,65175.9,881.53,1.4204,67673.99,956.97,20240522,SME
RISK00136,LOAN00136,CUST0712,AAA,0.034,0.6256,22259.24,473.46,0.3872,17763.15,453.91,20250408,Retail
RISK00137,LOAN00137,CUST0527,CCC,0.6885,0.4455,32927.58,10099.77,1.4714,18601.69,9856.79,20250407,Retail
RISK00138,LOAN00138,CUST0889,A,0.2618,0.5309,230733.86,32069.61,1.0277,113608.49,34316.8,20250327,Sovereign
RISK00139,LOAN00139,CUST0473,AAA,0.0352,0.3473,87424.91,1068.77,1.0249,94463.84,1038.9,20250409,Sovereign
RISK00140,LOAN00140,CUST0363,AAA,0.0649,0.5928,72026.65,2771.06,0.4317,77657.26,2495.12,20240105,Retail
RISK00141,LOAN00141,CUST0302,AAA,0.0249,0.3444,38536.17,330.47,0.9979,8582.64,355.38,20250601,Corporate
RISK00142,LOAN00142,CUST0917,A,0.2382,0.4568,78042.13,8491.75,0.9526,36705.32,8278.43,20240825,Corporate
RISK00143,LOAN00143,CUST0752,AAA,0.01,0.5013,13347.28,66.91,1.217,17357.03,66.95,20250523,Retail
RISK00144,LOAN00144,CUST0489,B,0.5142,0.3051,62053.88,9735.16,1.372,23508.11,8891.93,20240928,SME
RISK00145,LOAN00145,CUST0343,AAA,0.0583,0.4953,86299.89,2491.99,1.243,112446.53,2629.26,20241114,Retail
RISK00146,LOAN00146,CUST0113,AAA,0.01,0.4218,199084.15,839.74,1.1554,239908.23,866.28,20250125,SME
RISK00147,LOAN00147,CUST0464,AAA,0.0301,0.4335,115114.63,1502.06,0.6394,69717.48,1414.35,20240131,Sovereign
RISK00148,LOAN00148,CUST0680,D,0.95,0.5637,19709.53,10554.75,0.557,9462.35,10739.1,20240430,SME
RISK00149,LOAN00149,CUST0510,AAA,0.0378,0.3432,160129.09,2077.35,1.0933,86098.19,2186.0,20240529,Sovereign
RISK00150,LOAN00150,CUST0642,AAA,0.0994,0.4237,56664.25,2386.46,0.5451,65851.8,2378.85,20240606,Sovereign
RISK00151,LOAN00151,CUST0533,BBB,0.3622,0.6878,12746.06,3175.31,0.3264,17474.11,3340.17,20250326,Retail
RISK00152,LOAN00152,CUST0702,AAA,0.08,0.3062,6963.48,170.58,1.2563,3541.74,166.85,20240717,Corporate
RISK00153,LOAN00153,CUST0290,AAA,0.035,0.4133,136597.39,1975.95,0.2889,103328.76,1839.39,20240512,SME
RISK00154,LOAN00154,CUST0682,AAA,0.0219,0.4893,13120.54,140.6,0.2943,18256.06,136.98,20250501,Corporate
RISK00155,LOAN00155,CUST0832,AAA,0.0436,0.6504,346426.41,9823.77,1.4389,491456.18,10184.16,20240113,SME
RISK00156,LOAN00156,CUST0143,AAA,0.0546,0.4504,86002.78,2114.97,0.7669,18118.44,2064.65,20240507,Sovereign
RISK00157,LOAN00157,CUST0448,AAA,0.0467,0.6846,888.23,28.4,1.0908,558.63,26.62,20240530,Corporate
RISK00158,LOAN00158,CUST0935,AAA,0.0127,0.5173,1455.62,9.56,0.4903,1348.29,10.0,20240909,Retail
RISK00159,LOAN00159,CUST0301,B,0.546,0.3217,33241.78,5838.86,0.3925,43570.09,6105.76,20250119,Sovereign
RISK00160,LOAN00160,CUST0850,B,0.5121,0.5338,16068.58,4392.49,1.432,18495.19,4123.54,20250324,Retail
RISK00161,LOAN00161,CUST0735,B,0.564,0.3619,80324.67,16395.2,1.2238,85532.16,16406.44,20240802,SME
RISK00162,LOAN00162,CUST0737,AA,0.1788,0.3387,241473.88,14623.55,0.9299,85223.51,15175.93,20250121,Retail
RISK00163,LOAN00163,CUST0486,AAA,0.0235,0.6391,175119.32,2630.09,0.4732,64936.99,2718.48,20240621,SME
RISK00164,LOAN00164,CUST0628,BBB,0.3991,0.3683,56144.45,8252.59,0.9399,31221.54,8959.87,20240618,Retail
RISK00165,LOAN00165,CUST0560,A,0.2058,0.5791,22878.09,2726.58,0.4438,14509.28,2683.41,20241115,SME
RISK00166,LOAN00166,CUST0427,AAA,0.0893,0.548,61870.03,3027.7,0.4892,54448.36,2730.24,20240313,SME
RISK00167,LOAN00167,CUST0929,AAA,0.0503,0.4395,435695.33,9631.85,1.4394,422800.4,10151.4,20240705,Sovereign
RISK00168,LOAN00168,CUST0400,A,0.2453,0.4113,0.0,0.0,0.8259,0.0,0.0,20241026,Retail
RISK00169,LOAN00169,CUST0311,A,0.2174,0.5636,11189.99,1371.07,1.2955,14657.43,1346.17,20250304,SME
RISK00170,LOAN00170,CUST0715,AAA,0.0232,0.5661,65239.6,856.83,0.2733,85969.59,912.44,20240908,Corporate
RISK00171,LOAN00171,CUST0696,AAA,0.0728,0.4536,19821.3,654.54,1.1129,8545.18,611.15,20250301,Retail
RISK00172,LOAN00172,CUST0945,AAA,0.01,0.3696,106037.28,391.91,0.9128,75174.56,406.97,20241231,Corporate
RISK00173,LOAN00173,CUST0461,AAA,0.0162,0.6255,77750.09,787.85,1.0328,25459.7,778.95,20250226,Sovereign
RISK00174,LOAN00174,CUST0197,AAA,0.0774,0.5273,202896.0,8280.8,0.5745,295885.25,7732.39,20240209,Corporate
RISK00175,LOAN00175,CUST0349,AAA,0.09,0.6414,95615.72,5519.51,0.6373,104872.61,5035.63,20240927,SME
RISK00176,LOAN00176,CUST0450,AAA,0.0231,0.5406,366889.35,4581.66,1.3423,365375.3,4621.76,20250113,SME
RISK00177,LOAN00177,CUST0230,D,0.95,0.5301,16203.23,8159.87,0.2636,8621.94,8735.17,20250502,Sovereign
RISK00178,LOAN00178,CUST0955,AAA,0.0985,0.5613,53153.48,2938.75,1.327,38873.67,2859.5,20250513,Sovereign
RISK00179,LOAN00179,CUST0432,A,0.2591,0.5653,286113.25,41906.79,0.3573,197044.16,42378.41,20250219,Retail
RISK00180,LOAN00180,CUST0242,AAA,0.0739,0.6717,387814.52,19250.58,1.4418,530406.29,17867.71,20240309,Retail
RISK00181,LOAN00181,CUST0491,AAA,0.085,0.6886,40159.77,2350.59,0.858,53033.21,2344.95,20250210,Corporate
RISK00182,LOAN00182,CUST0057,AAA,0.0387,0.4509,26732.82,466.48,1.3515,38786.19,456.75,20241124,Sovereign
RISK00183,LOAN00183,CUST0719,AAA,0.0238,0.3368,20281.64,162.57,0.9154,8190.78,176.11,20240821,SME
RISK00184,LOAN00184,CUST0423,AAA,0.0439,0.413,36646.96,664.44,0.8149,12375.55,727.71,20240426,Retail
RISK00185,LOAN00185,CUST0617,AAA,0.0206,0.5821,233062.28,2794.71,1.0565,166296.89,2559.77,20250519,Sovereign
RISK00186,LOAN00186,CUST0920,AAA,0.0319,0.5166,323224.32,5326.59,0.7624,446307.28,5206.92,20240408,Corporate
RISK00187,LOAN00187,CUST0355,AAA,0.0553,0.3491,193195.73,3729.69,0.6674,158162.86,3959.98,20241009,Retail
RISK00188,LOAN00188,CUST0807,AAA,0.027,0.5353,137832.86,1992.11,1.2041,109800.18,2082.14,20250508,Retail
RISK00189,LOAN00189,CUST0989,AAA,0.0206,0.3738,412217.24,3174.19,0.2896,278340.38,3405.04,20250103,Retail
RISK00190,LOAN00190,CUST0054,B,0.5923,0.663,12007.46,4715.27,0.5693,15354.97,4544.83,20250429,SME
RISK00191,LOAN00191,CUST0606,BB,0.4262,0.601,85134.01,21806.75,1.4853,52215.58,20407.13,20250323,Sovereign
RISK00192,LOAN00192,CUST0567,A,0.2436,0.404,202949.2,19973.12,0.715,224284.57,19285.37,20250102,Sovereign
RISK00193,LOAN00193,CUST0479,AAA,0.0338,0.4578,82800.99,1281.23,0.2193,97654.26,1312.27,20240222,Sovereign
RISK00194,LOAN00194,CUST0371,AAA,0.0836,0.639,122533.38,6545.78,1.2726,113838.74,6257.02,20240320,Sovereign
RISK00195,LOAN00195,CUST0018,AAA,0.0939,0.4106,2150.73,82.92,0.5454,2300.0,78.1,20240318,Retail
RISK00196,LOAN00196,CUST0322,AAA,0.0147,0.5472,72281.51,581.42,0.5285,18624.49,524.73,20241204,Sovereign
RISK00197,LOAN00197,CUST0118,AAA,0.0992,0.6901,385356.65,26380.71,1.2149,414097.29,28281.68,20241031,SME
RISK00198,LOAN00198,CUST0866,AAA,0.0204,0.5281,256602.16,2764.44,1.1245,125290.54,2848.97,20240329,Sovereign
RISK00199,LOAN00199,CUST0698,AAA,0.0897,0.4499,271689.39,10964.31,1.2884,239159.51,11734.54,20241214,Retail
RISK00200,LOAN00200,CUST0302,AAA,0.0808,0.5043,138625.04,5648.62,1.0466,100309.26,6068.44,20240406,Sovereign
RISK00201,LOAN00201,CUST0521,A,0.2048,0.6991,47860.63,6852.48,1.2878,32170.83,6756.4,20240711,Retail
RISK00202,LOAN00202,CUST0080,A,0.2514,0.5111,100560.42,12921.06,1.0582,73604.21,12338.82,20250209,Corporate
RISK00203,LOAN00203,CUST0484,AAA,0.0768,0.4448,26531.76,906.34,1.4591,27327.97,983.89,20250123,SME
RISK00204,LOAN00204,CUST0767,AAA,0.0915,0.5613,93369.61,4795.37,0.2685,92090.98,5212.98,20240824,Corporate
RISK00205,LOAN00205,CUST0460,CC,0.7341,0.5664,86840.51,36107.78,0.8078,31542.94,37526.21,20250118,Retail
RISK00206,LOAN00206,CUST0815,AAA,0.0773,0.6599,15055.45,767.98,0.5691,17121.92,705.79,20240917,SME
RISK00207,LOAN00207,CUST0016,AAA,0.0834,0.3096,1038.39,26.81,0.5729,911.42,26.41,20250215,SME
RISK00208,LOAN00208,CUST0075,AA,0.1908,0.4174,249718.44,19887.56,0.6546,62702.04,19465.37,20240207,Sovereign
RISK00209,LOAN00209,CUST0845,CC,0.7617,0.6643,250062.39,126530.9,0.6943,236897.53,120695.21,20240315,Sovereign
RISK00210,LOAN00210,CUST0759,CCC,0.675,0.6582,57857.45,25705.2,0.2389,62006.87,23617.64,20241007,Sovereign
RISK00211,LOAN00211,CUST0379,BBB,0.3566,0.4973,21223.97,3763.8,1.1141,26622.63,3726.39,20250210,Corporate
RISK00212,LOAN00212,CUST0531,BB,0.4287,0.3168,252634.64,34310.86,0.2819,334302.79,35381.0,20240421,Sovereign
RISK00213,LOAN00213,CUST0904,AAA,0.0274,0.4756,82303.96,1072.54,0.5102,58491.95,1002.01,20250223,Corporate
