transaction_id,customer_id,transaction_date_id,transaction_type,channel,amount,balance_after,is_fraud,fraud_score,merchant_category,city
TXN000033,CUST0988,20250518,EMI Payment,Internet,18571.74,89156.44,0,0.0414,,Los Angeles
TXN000034,CUST0025,20241107,Credit,ATM,6353.03,62295.01,0,0.169,,Mumbai
TXN000035,CUST0628,20240820,Online Payment,Branch,36804.19,40284.52,0,0.2087,Utilities,Delhi
TXN000036,CUST0664,20250309,Credit,ATM,15292.95,69099.42,0,0.0046,Education,Philadelphia
TXN000037,CUST0633,20240929,Debit,Internet,19021.8,21776.63,0,0.212,Utilities,New York
TXN000038,CUST0519,20230127,ATM Withdrawal,IMPS,47279.09,28267.86,0,0.0318,Entertainment,New York
TXN000039,CUST0049,20241104,Transfer,Mobile,47440.95,6604.97,0,0.0384,,Chicago
TXN000040,CUST0835,20250410,EMI Payment,NEFT,48652.15,36933.84,0,0.0386,Healthcare,Phoenix
TXN000041,CUST0242,20241026,Debit,IMPS,35889.61,30453.49,0,0.1656,Healthcare,Phoenix
TXN000042,CUST0115,20240221,Credit,IMPS,44750.54,62145.46,0,0.1218,,Phoenix
TXN000043,CUST0315,20241125,ATM Withdrawal,Mobile,15376.73,11200.54,0,0.0119,Entertainment,Mumbai
TXN000044,CUST0920,20230311,Credit,ATM,39592.43,12838.29,0,0.1635,Retail,Phoenix
TXN000045,CUST0936,20230721,Transfer,POS,24741.01,40065.01,0,0.2807,Travel,Chennai
TXN000046,CUST0412,20231105,ATM Withdrawal,Branch,6520.08,33891.82,0,0.2172,Education,Bangalore
TXN000047,CUST0729,20240121,Interest Credit,Branch,37040.97,46168.64,0,0.0208,,Chicago
TXN000048,CUST0355,20250604,EMI Payment,ATM,1300.08,62707.22,0,0.1938,Food,Hyderabad
TXN000049,CUST0911,20250418,Online Payment,Mobile,42252.04,6044.68,0,0.092,,Chennai
TXN000050,CUST0846,20230924,Online Payment,Internet,38695.58,44156.03,0,0.0829,Healthcare,San Antonio
TXN000051,CUST0416,20240204,Credit,ATM,21393.98,78581.65,0,0.1616,,Pune
TXN000052,CUST0120,20230503,Credit,NEFT,26932.92,48977.98,0,0.1578,,Phoenix
TXN000053,CUST0661,20230814,ATM Withdrawal,ATM,14799.42,97238.38,0,0.1764,Education,Hyderabad
TXN000054,CUST0384,20241218,Debit,NEFT,6280.11,64008.53,0,0.0727,Food,Kolkata
TXN000055,CUST0326,20240301,Interest Credit,IMPS,24780.43,33512.26,0,0.2458,Entertainment,Ahmedabad
TXN000056,CUST0352,20241108,ATM Withdrawal,ATM,21914.91,60112.8,0,0.009,Retail,Bangalore
TXN000057,CUST0488,20240328,Interest Credit,Branch,32100.36,96871.07,0,0.192,Retail,Los Angeles
TXN000058,CUST0021,20230314,Credit,Internet,24251.85,47075.62,0,0.0787,Entertainment,Delhi
TXN000059,CUST0602,20230629,Debit,ATM,5431.07,44779.78,0,0.1663,Travel,New York
TXN000060,CUST0265,20230223,Transfer,Internet,18342.76,32651.57,0,0.2745,Food,Phoenix
TXN000061,CUST0511,20240425,Online Payment,NEFT,14443.0,40355.44,0,0.0962,Travel,Chicago
TXN000062,CUST0778,20250619,Debit,NEFT,37445.27,13524.64,0,0.0463,Travel,Pune
TXN000063,CUST0025,20230709,Transfer,POS,6367.94,40581.74,0,0.1255,,Mumbai
TXN000064,CUST0166,20240121,EMI Payment,NEFT,17029.36,10685.38,0,0.2486,Education,Bangalore
TXN000065,CUST0526,20240417,Online Payment,ATM,20974.47,17024.06,0,0.2852,Retail,Philadelphia
TXN000066,CUST0057,20240810,Debit,Branch,11938.77,38972.33,1,0.9204,Healthcare,San Antonio
TXN000067,CUST0809,20230703,EMI Payment,Mobile,2969.86,39696.1,0,0.2185,Utilities,Kolkata
TXN000068,CUST0933,20241005,EMI Payment,POS,5684.59,51983.66,0,0.1007,Education,Ahmedabad
TXN000069,CUST0686,20231226,ATM Withdrawal,Mobile,6339.03,10348.35,0,0.2721,Retail,Delhi
TXN000070,CUST0820,20230204,EMI Payment,ATM,39740.14,49167.49,0,0.1613,Retail,Bangalore
TXN000071,CUST0305,20230301,ATM Withdrawal,Mobile,47382.7,83650.71,0,0.2837,Food,Phoenix
TXN000072,CUST0714,20250430,Credit,IMPS,23317.74,17883.28,0,0.1418,Utilities,Houston
TXN000073,CUST0029,20231212,Transfer,NEFT,26155.31,79657.71,0,0.2848,Education,Philadelphia
TXN000074,CUST0921,20230702,ATM Withdrawal,Internet,8982.97,7866.97,0,0.2706,Retail,New York
TXN000075,CUST0955,20240411,Debit,POS,22876.08,93117.62,0,0.14,Entertainment,New York
TXN000076,CUST0935,20240602,EMI Payment,Internet,28324.9,54073.71,0,0.2797,Utilities,Phoenix
TXN000077,CUST0034,20230326,ATM Withdrawal,ATM,24312.43,66767.96,1,0.9073,,Los Angeles
TXN000078,CUST0979,20230807,Interest Credit,Mobile,45278.89,6374.0,0,0.0172,Healthcare,Phoenix
TXN000079,CUST0034,20241030,EMI Payment,Internet,17510.06,52963.07,0,0.0451,Entertainment,Los Angeles
TXN000080,CUST0947,20230618,ATM Withdrawal,Branch,7405.81,79565.75,0,0.0133,Retail,Bangalore
TXN000081,CUST0408,20241030,Debit,POS,12115.29,39912.22,0,0.1651,Education,Ahmedabad
TXN000082,CUST0420,20230205,Credit,ATM,13944.21,10483.01,0,0.2139,Entertainment,Hyderabad
TXN000083,CUST0333,20241008,ATM Withdrawal,POS,15556.55,57080.53,0,0.0589,Retail,Bangalore
TXN000084,CUST0136,20230504,Transfer,ATM,44398.19,61265.7,0,0.0232,Retail,Kolkata
TXN000085,CUST0320,20240429,Credit,IMPS,33472.93,42726.68,0,0.2895,Entertainment,Delhi
TXN000086,CUST0270,20231028,EMI Payment,Internet,4136.34,48928.16,0,0.2389,Retail,Hyderabad
TXN000087,CUST0171,20240924,ATM Withdrawal,Mobile,33015.14,20558.48,0,0.0099,Utilities,San Antonio
TXN000088,CUST0798,20250426,Debit,IMPS,41602.28,27423.02,0,0.2453,Education,Hyderabad
TXN000089,CUST0791,20231130,Interest Credit,IMPS,49108.29,89720.77,0,0.0882,Entertainment,Chennai
TXN000090,CUST0894,20230330,Online Payment,IMPS,4260.53,39291.87,0,0.1214,Healthcare,Chicago
TXN000091,CUST0181,20250601,ATM Withdrawal,Mobile,9314.91,7693.63,0,0.0214,,Mumbai
TXN000092,CUST0521,20231211,Transfer,ATM,5711.54,17854.61,0,0.0514,Food,Bangalore
TXN000093,CUST0416,20240903,Debit,IMPS,14565.56,60692.78,0,0.0392,Entertainment,Pune
TXN000094,CUST0253,20240713,Online Payment,ATM,12869.78,96664.64,0,0.2372,Utilities,Philadelphia
TXN000095,CUST0089,20240516,EMI Payment,Branch,20266.67,86282.98,0,0.048,Entertainment,Ahmedabad
TXN000096,CUST0861,20240617,Online Payment,ATM,44907.87,43288.91,1,0.963,,Houston
TXN000097,CUST0600,20240727,EMI Payment,NEFT,10822.25,81364.19,0,0.1541,Healthcare,Phoenix
TXN000098,CUST0484,20240607,Interest Credit,NEFT,10914.87,57630.3,0,0.1055,Utilities,Kolkata
TXN000099,CUST0425,20240618,EMI Payment,Mobile,20296.56,48132.95,0,0.1626,Entertainment,Hyderabad
TXN000100,CUST0428,20231210,Credit,ATM,11936.7,99876.83,0,0.2435,Retail,Delhi
TXN000101,CUST0631,20230726,EMI Payment,IMPS,34599.26,572.71,0,0.0843,Travel,Philadelphia
TXN000102,CUST0574,20230206,Debit,Internet,11750.77,68221.5,0,0.0261,Healthcare,Delhi
TXN000103,CUST0824,20240428,Interest Credit,Internet,14441.31,57878.44,0,0.2483,Travel,Chennai
TXN000104,CUST0702,20240222,EMI Payment,POS,49468.15,32772.84,0,0.0835,Travel,Philadelphia
TXN000105,CUST0511,20250422,Debit,IMPS,20835.22,24654.76,0,0.2187,Utilities,Chicago
TXN000106,CUST0749,20240810,Online Payment,Mobile,43608.95,67904.64,0,0.2256,Travel,Bangalore
TXN000107,CUST0818,20240611,Online Payment,Mobile,4282.76,63062.48,0,0.1835,Utilities,Bangalore
TXN000108,CUST0943,20230319,Credit,IMPS,33243.02,3081.2,0,0.1519,Retail,Kolkata
TXN000109,CUST0270,20230120,Debit,Internet,31252.3,99527.74,0,0.0531,Education,Hyderabad
TXN000110,CUST0338,20250428,ATM Withdrawal,ATM,6359.94,48852.6,0,0.0777,Travel,San Antonio
TXN000111,CUST0707,20241221,ATM Withdrawal,Mobile,35546.62,80046.32,0,0.2687,Entertainment,Hyderabad
TXN000112,CUST0244,20230530,Interest Credit,POS,16011.1,18759.69,0,0.1855,Travel,Phoenix
TXN000113,CUST0581,20240329,Credit,Branch,12687.58,81481.3,0,0.1995,Food,Los Angeles
TXN000114,CUST0433,20230105,Debit,POS,27336.83,78326.69,0,0.0889,Food,Pune
TXN000115,CUST0231,20230724,ATM Withdrawal,NEFT,29057.27,95037.2,0,0.0014,,Bangalore
TXN000116,CUST0332,20250514,Online Payment,ATM,7455.55,6569.72,0,0.2232,Food,Chicago
TXN000117,CUST0525,20230329,Debit,Internet,10617.72,73681.84,0,0.136,Food,New York
TXN000118,CUST0597,20241227,Transfer,Branch,4372.52,86036.87,1,0.7989,Utilities,Los Angeles
TXN000119,CUST0960,20230811,EMI Payment,IMPS,21637.23,6335.1,0,0.1526,Utilities,San Antonio
TXN000120,CUST0470,20250622,ATM Withdrawal,POS,36873.34,61866.25,0,0.1082,Food,Chennai
TXN000121,CUST0965,20240903,Interest Credit,Mobile,18960.83,74063.99,0,0.1328,Travel,Pune
TXN000122,CUST0203,20240123,Transfer,IMPS,13744.19,34746.01,0,0.172,Food,Bangalore
TXN000123,CUST0868,20231024,EMI Payment,NEFT,11732.48,25194.16,0,0.0807,Travel,Ahmedabad
TXN000124,CUST0304,20240913,ATM Withdrawal,ATM,5188.32,46791.8,0,0.0593,Education,New York
TXN000125,CUST0726,20231007,Debit,Branch,7404.24,13118.97,0,0.0558,Food,Los Angeles
TXN000126,CUST0830,20250103,Interest Credit,Mobile,39699.99,66815.3,0,0.292,Retail,Chicago
TXN000127,CUST0939,20230827,Debit,Mobile,12876.11,66163.55,0,0.098,Entertainment,Houston
TXN000128,CUST0554,20230831,Transfer,Internet,36439.79,16829.16,0,0.2207,Food,Bangalore
TXN000129,CUST0025,20231102,EMI Payment,Internet,15710.5,31782.72,0,0.0263,Utilities,Mumbai
TXN000130,CUST0750,20230726,EMI Payment,NEFT,49235.33,43949.59,0,0.0676,Food,Houston
TXN000131,CUST0620,20241120,Credit,IMPS,48183.03,19559.62,0,0.1142,Entertainment,Houston
TXN000132,CUST0268,20240401,EMI Payment,Internet,31414.63,24310.81,0,0.0781,Travel,New York
TXN000133,CUST0332,20231106,Interest Credit,Internet,5396.54,68933.77,0,0.1714,Travel,Chicago
TXN000134,CUST0034,20240212,Debit,NEFT,46153.04,25470.72,0,0.1935,Retail,Los Angeles
TXN000135,CUST0178,20240608,Transfer,ATM,46560.17,57290.37,0,0.2023,Food,Kolkata
TXN000136,CUST0775,20240731,Online Payment,Internet,33193.88,36914.73,1,0.8282,Education,San Antonio
TXN000137,CUST0612,20240911,Transfer,Branch,9781.75,9981.31,0,0.2189,Healthcare,Chennai
TXN000138,CUST0943,20240613,Credit,NEFT,48317.86,29078.7,0,0.1243,Utilities,Kolkata
TXN000139,CUST0084,20240317,Interest Credit,Internet,5032.35,45267.52,0,0.0818,Retail,San Antonio
TXN000140,CUST0496,20250209,EMI Payment,Mobile,33412.87,12705.37,0,0.1148,Education,San Antonio
TXN000141,CUST0496,20230105,Interest Credit,Internet,20886.04,80458.78,0,0.1125,Travel,San Antonio
TXN000142,CUST0111,20240409,Interest Credit,Mobile,39473.85,66304.57,0,0.0908,Utilities,Chennai
TXN000143,CUST0637,20250227,Online Payment,IMPS,22558.05,5262.39,0,0.2958,Food,San Antonio
TXN000144,CUST0568,20240316,Debit,Mobile,8493.47,64486.23,0,0.2268,,Kolkata
TXN000145,CUST0566,20250625,Transfer,ATM,31644.04,69024.9,0,0.2808,,Houston
TXN000146,CUST0988,20230922,Interest Credit,Internet,723.54,63818.72,0,0.1823,Entertainment,Los Angeles
TXN000147,CUST0253,20250617,Transfer,ATM,6042.92,83792.76,0,0.0004,Utilities,Philadelphia
TXN000148,CUST0115,20231030,Online Payment,Branch,35303.05,4886.3,0,0.2708,,Phoenix
TXN000149,CUST0129,20250515,Transfer,IMPS,18938.05,58895.6,0,0.132,Retail,Hyderabad
TXN000150,CUST0596,20231029,Debit,Mobile,4459.73,61651.23,0,0.198,Utilities,Bangalore
TXN000151,CUST0202,20240223,Credit,Branch,33864.4,16046.37,0,0.099,Travel,Chicago
TXN000152,CUST0195,20230429,Debit,ATM,47028.09,51174.24,0,0.2975,Education,Pune
TXN000153,CUST0208,20240103,EMI Payment,Mobile,26793.72,87145.01,0,0.1853,,Mumbai
TXN000154,CUST0904,20250304,Debit,ATM,23312.2,70361.31,0,0.1535,Travel,Pune
TXN000155,CUST0146,20231209,EMI Payment,NEFT,35634.15,40698.55,1,0.768,Utilities,New York
TXN000156,CUST0415,20230630,Credit,IMPS,25134.47,43722.0,0,0.2437,Healthcare,Philadelphia
TXN000157,CUST0989,20241014,Interest Credit,POS,17131.2,26934.47,0,0.2932,Entertainment,Philadelphia
TXN000158,CUST0827,20230218,Online Payment,IMPS,21255.31,65732.36,0,0.1011,Education,Houston
TXN000159,CUST0552,20240227,Interest Credit,ATM,11781.23,70387.79,0,0.1721,Entertainment,Mumbai
TXN000160,CUST0334,20241212,Credit,IMPS,31397.33,76873.11,0,0.0613,Education,Phoenix
TXN000161,CUST0935,20230813,Online Payment,Mobile,4266.67,35622.31,0,0.079,Education,Phoenix
TXN000162,CUST0740,20250613,Credit,ATM,48939.92,14703.22,0,0.1388,Travel,Kolkata
TXN000163,CUST0564,20240105,Credit,Branch,24736.23,15888.43,0,0.2845,,New York
TXN000164,CUST0652,20241208,Interest Credit,ATM,23267.46,43100.58,0,0.1105,Healthcare,Ahmedabad
TXN000165,CUST0052,20240408,EMI Payment,POS,39469.79,48850.18,0,0.1711,Food,Los Angeles
TXN000166,CUST0684,20241022,Credit,IMPS,33.13,81699.07,0,0.1967,Food,Houston
TXN000167,CUST0637,20250521,ATM Withdrawal,Internet,14154.44,28049.02,0,0.24,Utilities,San Antonio
TXN000168,CUST0106,20240107,Transfer,ATM,36322.23,4987.19,0,0.2221,Travel,Los Angeles
TXN000169,CUST0578,20230605,Online Payment,IMPS,6966.52,69999.39,0,0.0953,Retail,New York
TXN000170,CUST0005,20230703,Transfer,Mobile,29261.29,30385.04,0,0.2349,Education,San Antonio
TXN000171,CUST0925,20241121,ATM Withdrawal,NEFT,41450.13,34743.53,0,0.1717,Entertainment,San Antonio
TXN000172,CUST0330,20230510,Online Payment,Branch,12039.49,61319.72,0,0.1854,,Phoenix
TXN000173,CUST0354,20240506,Transfer,Branch,35115.33,28355.3,0,0.2785,Utilities,San Antonio
TXN000174,CUST0238,20230720,Debit,POS,10544.74,54403.66,0,0.2553,Education,Los Angeles
TXN000175,CUST0906,20250117,Transfer,Internet,43326.91,71294.45,0,0.2757,Healthcare,Ahmedabad
TXN000176,CUST0811,20230224,Transfer,ATM,27962.09,79464.83,0,0.0123,Utilities,Houston
TXN000177,CUST0678,20250228,EMI Payment,POS,39495.44,4102.03,0,0.0789,Entertainment,Phoenix
TXN000178,CUST0655,20250201,Interest Credit,Mobile,28302.78,96519.08,1,0.9782,,Kolkata
TXN000179,CUST0758,20250624,Debit,NEFT,31266.65,23372.26,0,0.2155,Retail,Delhi
TXN000180,CUST0981,20250215,ATM Withdrawal,Internet,35180.07,83196.7,0,0.2159,Food,Delhi
TXN000181,CUST0641,20250521,Credit,ATM,26570.56,66515.14,0,0.2012,Travel,Ahmedabad
TXN000182,CUST0985,20230814,ATM Withdrawal,POS,3360.76,11349.13,0,0.1904,Food,Mumbai
TXN000183,CUST0678,20250404,Online Payment,Internet,41204.17,92544.15,0,0.2787,Healthcare,Phoenix
TXN000184,CUST0941,20240708,ATM Withdrawal,Mobile,27859.88,77035.49,1,0.904,Travel,Hyderabad
TXN000185,CUST0817,20250510,Transfer,Internet,33509.7,78233.73,0,0.2648,Utilities,New York
TXN000186,CUST0318,20231004,Credit,Branch,32971.21,29198.09,0,0.2045,,Mumbai
TXN000187,CUST0711,20230709,Debit,ATM,26173.28,16254.1,0,0.1697,Retail,Chicago
TXN000188,CUST0680,20230610,EMI Payment,Mobile,11584.77,22547.82,0,0.1869,,New York
TXN000189,CUST0649,20231220,Transfer,POS,31155.78,64270.2,0,0.1822,Healthcare,San Antonio
TXN000190,CUST0638,20241122,ATM Withdrawal,POS,18267.19,24152.96,0,0.2685,Entertainment,Los Angeles
TXN000191,CUST0242,20240813,Interest Credit,Mobile,47538.92,38294.57,0,0.2495,,Phoenix
TXN000192,CUST0232,20230814,Online Payment,Branch,10661.39,82003.68,0,0.1152,Education,Ahmedabad
TXN000193,CUST0554,20241116,Debit,ATM,2632.82,52113.47,0,0.1729,Travel,Bangalore
TXN000194,CUST0242,20240724,Transfer,Mobile,18116.04,7342.64,0,0.2217,Food,Phoenix
TXN000195,CUST0650,20241217,EMI Payment,NEFT,47540.19,31010.21,0,0.2039,Education,Mumbai
TXN000196,CUST0564,20250519,Online Payment,Mobile,15509.06,36643.79,0,0.134,,New York
TXN000197,CUST0015,20230713,Debit,ATM,33929.34,32820.52,0,0.1955,Retail,Philadelphia
TXN000198,CUST0138,20231219,EMI Payment,POS,38870.86,24110.24,0,0.1791,Food,Phoenix
TXN000199,CUST0027,20230802,EMI Payment,Internet,8805.56,63990.41,0,0.2169,Travel,Hyderabad
TXN000200,CUST0521,20250219,Debit,ATM,3387.78,17232.27,0,0.2644,Entertainment,Bangalore
TXN000201,CUST0838,20250502,Transfer,ATM,22408.03,21460.53,0,0.0343,Retail,Bangalore
TXN000202,CUST0660,20230227,Online Payment,NEFT,24698.59,74467.17,0,0.2781,Healthcare,Houston
TXN000203,CUST0719,20230124,Debit,ATM,39839.8,43690.5,0,0.1401,Travel,San Antonio
TXN000204,CUST0121,20230618,ATM Withdrawal,Internet,24460.2,30289.49,0,0.256,Entertainment,Los Angeles
TXN000205,CUST0576,20230701,Transfer,ATM,31952.92,15961.9,0,0.281,Travel,New York
TXN000206,CUST0613,20250112,Online Payment,POS,16315.17,30394.55,0,0.2689,Education,San Antonio
TXN000207,CUST0077,20250207,Transfer,ATM,14934.59,84597.12,0,0.2283,,Houston
TXN000208,CUST0780,20240722,Interest Credit,Branch,45356.36,76964.79,0,0.2884,Entertainment,Phoenix
TXN000209,CUST0557,20240314,ATM Withdrawal,NEFT,45488.23,32325.83,0,0.1751,,Delhi
TXN000210,CUST0498,20250110,Credit,IMPS,233.73,5225.7,0,0.2585,,Kolkata
TXN000211,CUST0614,20250117,ATM Withdrawal,Mobile,38707.21,9943.54,0,0.2593,Retail,Philadelphia
TXN000212,CUST0321,20240923,Interest Credit,Mobile,6876.05,31040.66,0,0.1509,Travel,Chicago
TXN000213,CUST0435,20230926,Online Payment,IMPS,18901.42,72948.09,0,0.1071,Retail,New York
TXN000214,CUST0805,20250306,ATM Withdrawal,NEFT,14977.21,38974.04,0,0.002,Travel,San Antonio
TXN000215,CUST0517,20240116,Transfer,ATM,1592.82,33023.98,0,0.0427,Travel,Phoenix
TXN000216,CUST0029,20241016,Debit,IMPS,30731.06,77541.09,0,0.033,Healthcare,Philadelphia
TXN000217,CUST0575,20230113,Interest Credit,NEFT,8736.17,82010.89,0,0.0845,Travel,Houston
TXN000218,CUST0920,20240519,Transfer,IMPS,18907.88,29364.44,0,0.0288,,Phoenix
TXN000219,CUST0270,20240827,EMI Payment,Internet,42651.36,67292.55,0,0.2011,Entertainment,Hyderabad
TXN000220,CUST0283,20240114,Online Payment,POS,37692.07,31314.76,0,0.219,Healthcare,Hyderabad
TXN000221,CUST0340,20240527,Transfer,POS,43186.23,68250.93,0,0.1882,Food,Pune
TXN000222,CUST0444,20240827,Transfer,POS,17378.93,71230.73,0,0.1935,Travel,Houston
TXN000223,CUST0137,20240717,EMI Payment,Mobile,35777.56,57134.2,0,0.0238,Retail,Pune
TXN000224,CUST0068,20240715,EMI Payment,Internet,4499.84,76614.65,0,0.1725,Food,Kolkata
TXN000225,CUST0082,20231022,ATM Withdrawal,Mobile,44685.33,56453.11,0,0.1271,Food,Kolkata
TXN000226,CUST0952,20250610,EMI Payment,IMPS,2699.39,32222.7,0,0.2018,Utilities,Ahmedabad
TXN000227,CUST0651,20250519,EMI Payment,Branch,5108.52,6159.63,0,0.1947,Entertainment,Kolkata
TXN000228,CUST0632,20240517,Online Payment,Branch,18357.55,35761.11,0,0.2733,Education,Mumbai
TXN000229,CUST0173,20230402,Transfer,Branch,833.76,81364.4,0,0.2028,Travel,Hyderabad
TXN000230,CUST0559,20241004,ATM Withdrawal,IMPS,46311.68,46521.41,0,0.1711,,Chennai
TXN000231,CUST0179,20231129,EMI Payment,Mobile,16454.21,60621.69,0,0.0358,Healthcare,Pune
TXN000232,CUST0469,20240114,Interest Credit,IMPS,41747.34,85485.94,0,0.0007,Utilities,Mumbai
TXN000233,CUST0674,20230131,EMI Payment,ATM,49347.59,58696.09,0,0.2725,Food,Phoenix
TXN000234,CUST0217,20250217,Credit,IMPS,18258.87,86224.98,0,0.1626,Healthcare,Bangalore
TXN000235,CUST0389,20250518,Interest Credit,Branch,30051.33,53809.55,0,0.1764,Travel,San Antonio
TXN000236,CUST0497,20240419,EMI Payment,Internet,36855.7,88619.64,0,0.1858,Utilities,Los Angeles
TXN000237,CUST0614,20250508,Interest Credit,NEFT,32817.7,89115.15,0,0.169,Retail,Philadelphia
TXN000238,CUST0446,20250626,Online Payment,Mobile,1052.0,1943.71,0,0.1492,Travel,Philadelphia
TXN000239,CUST0729,20230819,Credit,POS,17712.37,76280.25,0,0.0081,Education,Chicago
TXN000240,CUST0375,20240823,ATM Withdrawal,IMPS,35426.44,46933.68,0,0.1003,Education,Chennai
TXN000241,CUST0616,20230925,Online Payment,ATM,44041.72,20043.81,0,0.1904,,Pune
TXN000242,CUST0368,20240803,EMI Payment,Mobile,43330.66,24274.23,0,0.1777,,Los Angeles
TXN000243,CUST0912,20241224,Interest Credit,Mobile,26441.92,62988.1,0,0.1683,Food,Ahmedabad
TXN000244,CUST0123,20250108,Interest Credit,NEFT,11531.63,93623.16,0,0.0977,Healthcare,Mumbai
TXN000245,CUST0207,20230407,Debit,ATM,13304.81,1245.2,0,0.1888,,Ahmedabad
TXN000246,CUST0900,20250215,Debit,POS,38104.79,41625.97,0,0.1455,Healthcare,Bangalore
TXN000247,CUST0764,20240606,Interest Credit,POS,24270.8,72465.5,0,0.0123,Healthcare,Pune
TXN000248,CUST0692,20230626,Credit,Internet,8642.12,87919.0,0,0.2815,Education,New York
TXN000249,CUST0289,20240615,Interest Credit,Mobile,14694.08,60372.43,0,0.2585,Food,Bangalore
TXN000250,CUST0426,20250620,Transfer,Mobile,12778.0,80121.49,0,0.2409,Travel,Kolkata
TXN000251,CUST0685,20250610,Online Payment,IMPS,17042.08,86558.71,0,0.0045,Travel,Ahmedabad
TXN000252,CUST0524,20231029,Transfer,NEFT,8211.48,12440.28,0,0.1496,Healthcare,Ahmedabad
TXN000253,CUST0873,20241003,Debit,Internet,39265.31,25744.47,0,0.2028,Healthcare,Hyderabad
TXN000254,CUST0912,20230302,EMI Payment,Branch,41982.98,70720.95,0,0.1722,Food,Ahmedabad
TXN000255,CUST0510,20230817,Transfer,POS,11156.0,16329.22,0,0.0698,Travel,San Antonio
TXN000256,CUST0049,20230325,Transfer,NEFT,31412.25,48650.82,0,0.184,Utilities,Chicago
TXN000257,CUST0567,20240112,ATM Withdrawal,ATM,49964.47,869.16,0,0.0277,Retail,New York
TXN000258,CUST0428,20230618,Debit,Branch,2187.4,985.77,0,0.247,Utilities,Delhi
TXN000259,CUST0444,20231019,EMI Payment,ATM,35954.52,15236.57,0,0.2452,Travel,Houston
TXN000260,CUST0120,20250213,EMI Payment,Mobile,34808.71,10487.28,0,0.1899,Education,Phoenix
TXN000261,CUST0263,20240912,EMI Payment,POS,18855.04,32622.34,1,0.9646,Travel,New York
TXN000262,CUST0840,20240730,Interest Credit,POS,4140.16,93039.77,0,0.1526,Education,Ahmedabad
