loan_id,customer_id,product_id,disbursal_date_id,disbursal_amount,interest_rate,tenure_months,emi_amount,outstanding_balance,paid_instalments,days_past_due,loan_status,pd,lgd,ead,ecl,collateral_value
LOAN00071,CUST0544,PROD03,20230513,341319.49,8.78,36,10818.95,152106.5,19,0,Closed,0.0271,0.4997,152106.5,2059.81,188977.93
LOAN00072,CUST0272,PROD01,20240603,431548.42,15.81,12,39115.97,0.0,12,0,Active,0.0721,0.6142,0.0,0.0,309699.87
LOAN00073,CUST0069,PROD01,20230329,479994.73,9.87,120,6308.66,391723.39,11,0,Closed,0.0353,0.4977,391723.39,6882.11,346523.95
LOAN00074,CUST0997,PROD04,20230517,73419.53,15.52,84,1438.26,42038.21,31,0,Active,0.0493,0.5145,42038.21,1066.29,25342.35
LOAN00075,CUST0086,PROD05,20240104,265838.24,14.1,120,4143.57,36238.46,103,30,Active,0.1902,0.3011,36238.46,2075.35,396327.06
LOAN00076,CUST0018,PROD03,20230217,479019.81,15.33,180,6812.9,433263.33,15,0,Closed,0.0779,0.3557,433263.33,12005.31,330802.74
LOAN00077,CUST0856,PROD05,20220512,109315.0,9.41,48,2741.64,1982.86,47,180,NPA,0.95,0.451,1982.86,849.56,4320.16
LOAN00078,CUST0989,PROD04,20220131,352193.87,13.13,12,31478.48,297508.84,1,0,Active,0.0147,0.3565,297508.84,1559.11,129455.45
LOAN00079,CUST0013,PROD05,20240829,79110.03,9.05,120,1004.27,14355.45,95,0,Closed,0.047,0.589,14355.45,397.4,52684.15
LOAN00080,CUST0661,PROD01,20210810,82164.23,14.99,24,3983.48,74065.57,1,0,Active,0.0396,0.4694,74065.57,1376.75,116867.36
LOAN00081,CUST0466,PROD05,20231227,459979.36,11.77,60,10178.61,101666.62,45,120,NPA,0.6938,0.3368,101666.62,23756.63,260504.9
LOAN00082,CUST0974,PROD02,20240301,203199.2,7.98,48,4958.78,85444.18,25,30,Active,0.2226,0.6367,85444.18,12109.95,248886.15
LOAN00083,CUST0480,PROD04,20211003,414490.57,8.9,120,5228.19,56311.97,102,0,Active,0.0104,0.4451,56311.97,260.67,484206.18
LOAN00084,CUST0344,PROD01,20210505,85566.4,8.4,60,1751.4,62976.34,13,60,Defaulted,0.3642,0.5207,62976.34,11942.77,81936.97
LOAN00085,CUST0034,PROD02,20210705,488448.26,12.3,24,23061.45,121864.68,18,0,Active,0.01,0.4234,121864.68,515.98,718415.78
LOAN00086,CUST0770,PROD03,20220326,101467.43,13.89,240,1253.67,21006.15,185,0,Active,0.0331,0.6586,21006.15,457.93,76645.21
LOAN00087,CUST0515,PROD02,20200218,399054.3,11.55,360,3967.03,337743.6,19,0,Active,0.0885,0.3373,337743.6,10082.0,430058.45
LOAN00088,CUST0906,PROD02,20240711,385568.73,8.87,36,12237.67,39732.65,32,30,Active,0.2318,0.6721,39732.65,6190.06,197458.59
LOAN00089,CUST0805,PROD02,20211125,183356.6,14.78,60,4340.9,86324.48,27,30,Active,0.235,0.3956,86324.48,8025.24,274212.41
LOAN00090,CUST0622,PROD01,20201108,315755.87,11.73,360,3182.43,269797.48,7,90,NPA,0.5547,0.6876,269797.48,102903.92,370119.01
LOAN00091,CUST0090,PROD04,20200711,160290.76,15.44,180,2291.91,106478.64,41,0,Active,0.01,0.5843,106478.64,622.15,110778.82
LOAN00092,CUST0485,PROD03,20240411,326894.58,8.69,180,3255.57,269446.6,31,0,Active,0.0287,0.4636,269446.6,3585.07,303856.77
LOAN00093,CUST0697,PROD02,20220621,258677.23,12.81,84,4679.17,122767.93,40,30,Active,0.2173,0.4051,122767.93,10807.04,339722.02
LOAN00094,CUST0699,PROD01,20230625,371816.07,9.58,12,32615.95,105495.55,8,90,NPA,0.5291,0.3633,105495.55,20278.57,222688.32
LOAN00095,CUST0075,PROD02,20220306,336229.53,10.47,180,3710.43,107833.92,119,120,NPA,0.7132,0.3343,107833.92,25710.06,369068.12
LOAN00096,CUST0940,PROD04,20240422,103738.14,10.29,120,1387.62,62337.18,40,30,Active,0.1879,0.5965,62337.18,6986.9,17790.02
LOAN00097,CUST0466,PROD01,20230121,474524.17,8.74,36,15032.39,272253.55,13,0,Active,0.038,0.6746,272253.55,6979.17,257305.58
LOAN00098,CUST0441,PROD04,20210313,109688.98,7.7,12,9526.46,0.0,12,0,Active,0.01,0.3277,0.0,0.0,66647.32
LOAN00099,CUST0306,PROD04,20241119,264765.08,13.19,120,3982.95,168461.68,33,0,Closed,0.0429,0.6853,168461.68,4952.67,117915.11
LOAN00100,CUST0204,PROD03,20220508,240372.21,13.36,180,3098.45,184662.68,41,0,Closed,0.057,0.6292,184662.68,6622.82,202240.2
LOAN00101,CUST0916,PROD05,20210210,362748.22,12.42,24,17147.05,271625.83,4,180,NPA,0.95,0.5971,271625.83,154078.39,400865.41
LOAN00102,CUST0325,PROD01,20201104,467240.6,11.75,180,5532.74,222814.22,81,180,NPA,0.95,0.5083,222814.22,107593.64,2576.99
LOAN00103,CUST0462,PROD02,20230723,321263.62,12.42,180,3942.93,269428.94,9,180,NPA,0.95,0.5184,269428.94,132688.36,80043.33
LOAN00104,CUST0387,PROD02,20211213,476426.56,15.76,48,13443.57,118304.54,36,0,Active,0.0302,0.4228,118304.54,1510.58,585326.85
LOAN00105,CUST0128,PROD04,20230821,209956.59,10.49,180,2319.56,44770.73,138,180,NPA,0.95,0.6705,44770.73,28517.84,144499.55
LOAN00106,CUST0383,PROD02,20230206,85515.28,11.2,360,827.33,49884.91,145,30,Active,0.2104,0.4133,49884.91,4337.91,79577.5
LOAN00107,CUST0948,PROD01,20200628,49370.78,7.64,24,2224.81,19585.93,13,30,Active,0.229,0.5179,19585.93,2322.87,46916.45
LOAN00108,CUST0516,PROD05,20240708,335516.52,14.74,12,30242.01,222304.5,3,0,Active,0.0196,0.4878,222304.5,2125.43,62627.8
LOAN00109,CUST0991,PROD04,20220425,8764.54,10.68,120,119.15,6223.14,28,0,Active,0.0307,0.6611,6223.14,126.3,11954.89
LOAN00110,CUST0690,PROD02,20200109,21173.93,7.72,120,253.78,3037.94,101,60,Defaulted,0.4153,0.54,3037.94,681.29,10642.76
LOAN00111,CUST0983,PROD05,20220530,280091.09,10.83,48,7216.0,49716.09,39,60,Defaulted,0.4135,0.5311,49716.09,10918.14,54143.2
LOAN00112,CUST0652,PROD04,20240131,204543.91,10.2,36,6619.28,135259.58,10,0,Closed,0.0504,0.5526,135259.58,3767.12,240629.94
LOAN00113,CUST0864,PROD03,20240910,83731.32,10.24,240,821.38,65410.14,23,0,Active,0.0593,0.3111,65410.14,1206.7,88869.4
LOAN00114,CUST0943,PROD01,20230317,17518.49,13.74,120,269.27,8554.94,58,60,Defaulted,0.352,0.561,8554.94,1689.36,5827.23
LOAN00115,CUST0199,PROD05,20240917,364524.75,14.36,48,10027.13,175985.03,24,30,Active,0.1942,0.674,175985.03,23034.82,343075.03
LOAN00116,CUST0654,PROD05,20241110,59911.1,15.38,24,2915.72,45400.86,3,0,Closed,0.01,0.4977,45400.86,225.96,32477.57
LOAN00117,CUST0859,PROD02,20220311,248063.29,7.69,24,11184.19,209877.12,2,30,Active,0.1877,0.468,209877.12,18436.36,331057.89
LOAN00118,CUST0649,PROD04,20240713,94004.19,7.59,36,2928.0,61948.11,11,30,Active,0.2521,0.3469,61948.11,5417.58,48338.43
LOAN00119,CUST0356,PROD04,20230611,275508.97,8.85,360,2187.14,174081.2,130,0,Active,0.01,0.5047,174081.2,878.59,62959.04
LOAN00120,CUST0888,PROD03,20200823,19601.32,8.68,48,484.81,16842.41,5,120,NPA,0.6934,0.4926,16842.41,5752.84,28026.83
LOAN00121,CUST0357,PROD05,20230828,236186.66,14.38,60,5542.29,120406.58,27,0,Active,0.0173,0.5748,120406.58,1197.33,314357.91
LOAN00122,CUST0288,PROD04,20200729,397610.85,12.49,360,4240.45,295420.13,84,180,NPA,0.95,0.6531,295420.13,183291.94,252723.84
LOAN00123,CUST0766,PROD03,20240728,313340.93,12.66,84,5642.53,98473.89,54,0,Closed,0.0819,0.4798,98473.89,3869.59,418051.49
LOAN00124,CUST0982,PROD05,20210602,207855.09,12.63,360,2239.34,17192.33,330,0,Active,0.0115,0.6236,17192.33,123.29,133875.35
LOAN00125,CUST0191,PROD03,20210517,111516.16,10.66,24,5179.94,89856.67,4,0,Active,0.01,0.4315,89856.67,387.73,77845.52
LOAN00126,CUST0815,PROD03,20210421,37786.4,9.91,240,362.4,27207.88,54,0,Active,0.0608,0.6533,27207.88,1080.71,48739.5
LOAN00127,CUST0077,PROD05,20230816,342655.3,11.2,120,4758.95,41028.09,104,0,Closed,0.0499,0.6961,41028.09,1425.13,216508.76
LOAN00128,CUST0128,PROD04,20201216,166803.01,10.75,360,1557.08,25695.71,295,0,Closed,0.0576,0.3019,25695.71,446.83,115537.4
LOAN00129,CUST0135,PROD04,20200316,459427.07,7.83,240,3794.37,122385.75,165,0,Closed,0.0415,0.4204,122385.75,2135.22,218588.28
LOAN00130,CUST0355,PROD04,20200612,388433.65,11.7,240,4196.03,335431.56,12,30,Active,0.2121,0.6395,335431.56,45497.25,563511.88
LOAN00131,CUST0125,PROD03,20230619,19497.65,7.91,24,881.03,16978.75,0,180,NPA,0.95,0.5897,16978.75,9511.75,6619.68
LOAN00132,CUST0091,PROD02,20240122,408993.07,12.07,84,7235.16,404950.81,0,90,NPA,0.526,0.614,404950.81,130784.53,67976.85
LOAN00133,CUST0970,PROD03,20200602,168017.84,12.71,60,3798.03,22857.15,51,30,Active,0.2592,0.5334,22857.15,3160.17,30218.37
LOAN00134,CUST0327,PROD02,20240322,444460.21,15.71,360,5873.09,173938.02,211,30,Active,0.2188,0.3962,173938.02,15078.44,318629.18
LOAN00135,CUST0502,PROD03,20211021,116786.11,9.74,180,1236.48,65175.9,75,0,Closed,0.0242,0.5589,65175.9,881.53,149929.45
LOAN00136,CUST0712,PROD01,20200602,34832.13,7.61,180,325.08,22259.24,55,0,Active,0.034,0.6256,22259.24,473.46,39792.36
LOAN00137,CUST0527,PROD03,20240406,355713.62,13.07,60,8106.33,32927.58,54,120,NPA,0.6885,0.4455,32927.58,10099.77,520265.68
LOAN00138,CUST0889,PROD05,20221117,391110.42,9.1,48,9751.38,230733.86,17,30,Active,0.2618,0.5309,230733.86,32069.61,59877.65
LOAN00139,CUST0473,PROD01,20240305,124078.42,15.1,24,6022.04,87424.91,5,0,Active,0.0352,0.3473,87424.91,1068.77,102421.33
LOAN00140,CUST0363,PROD04,20210310,201479.36,11.16,36,6611.45,72026.65,21,0,Active,0.0649,0.5928,72026.65,2771.06,127714.25
LOAN00141,CUST0302,PROD02,20220404,299054.34,12.0,36,9932.88,38536.17,31,0,Active,0.0249,0.3444,38536.17,330.47,51671.16
LOAN00142,CUST0917,PROD01,20230324,123189.73,12.02,60,2741.53,78042.13,17,30,Active,0.2382,0.4568,78042.13,8491.75,18719.47
LOAN00143,CUST0752,PROD03,20221011,89659.41,9.23,48,2240.98,13347.28,40,0,Closed,0.01,0.5013,13347.28,66.91,94205.76
LOAN00144,CUST0489,PROD03,20241012,89265.12,13.29,48,2407.63,62053.88,10,90,NPA,0.5142,0.3051,62053.88,9735.16,63547.93
LOAN00145,CUST0343,PROD01,20201229,441222.48,8.95,60,9148.35,86299.89,48,0,Closed,0.0583,0.4953,86299.89,2491.99,163810.75
LOAN00146,CUST0113,PROD01,20240804,285797.03,15.92,12,25919.79,199084.15,3,0,Active,0.01,0.4218,199084.15,839.74,315599.86
LOAN00147,CUST0464,PROD04,20240213,494947.59,9.69,84,8137.66,115114.63,62,0,Closed,0.0301,0.4335,115114.63,1502.06,384448.85
LOAN00148,CUST0680,PROD05,20220918,138619.04,11.91,24,6519.45,19709.53,20,180,NPA,0.95,0.5637,19709.53,10554.75,29449.57
LOAN00149,CUST0510,PROD01,20210515,371801.15,15.77,360,4930.93,160129.09,184,0,Closed,0.0378,0.3432,160129.09,2077.35,152767.82
LOAN00150,CUST0642,PROD05,20220709,91601.36,15.24,240,1222.47,56664.25,89,0,Active,0.0994,0.4237,56664.25,2386.46,5647.22
LOAN00151,CUST0533,PROD03,20240904,65865.83,14.26,360,794.0,12746.06,290,60,Defaulted,0.3622,0.6878,12746.06,3175.31,49293.36
LOAN00152,CUST0702,PROD02,20220813,263977.15,9.96,36,8512.84,6963.48,35,0,Active,0.08,0.3062,6963.48,170.58,16216.02
LOAN00153,CUST0290,PROD05,20200909,246741.39,7.54,12,21411.2,136597.39,5,0,Active,0.035,0.4133,136597.39,1975.95,317930.18
LOAN00154,CUST0682,PROD05,20201113,358032.56,8.71,24,16309.03,13120.54,23,0,Active,0.0219,0.4893,13120.54,140.6,190454.83
LOAN00155,CUST0832,PROD04,20220515,483618.87,8.33,120,5952.3,346426.41,33,0,Active,0.0436,0.6504,346426.41,9823.77,583520.2
LOAN00156,CUST0143,PROD02,20210527,211074.59,9.2,36,6731.78,86002.78,19,0,Active,0.0546,0.4504,86002.78,2114.97,277327.15
LOAN00157,CUST0448,PROD01,20201010,223741.16,10.16,240,2182.92,888.23,239,0,Active,0.0467,0.6846,888.23,28.4,154812.32
LOAN00158,CUST0935,PROD05,20200224,48772.35,8.69,120,609.67,1455.62,116,0,Active,0.0127,0.5173,1455.62,9.56,41376.6
LOAN00159,CUST0301,PROD01,20240326,67338.24,13.2,120,1013.39,33241.78,59,90,NPA,0.546,0.3217,33241.78,5838.86,5524.37
LOAN00160,CUST0850,PROD01,20211113,53212.54,9.97,360,465.8,16068.58,246,90,NPA,0.5121,0.5338,16068.58,4392.49,40773.11
LOAN00161,CUST0735,PROD01,20231207,260550.69,12.28,48,6897.17,80324.67,31,90,NPA,0.564,0.3619,80324.67,16395.2,245532.34
LOAN00162,CUST0737,PROD01,20240707,313713.64,9.21,180,3221.2,241473.88,17,30,Active,0.1788,0.3387,241473.88,14623.55,96134.56
LOAN00163,CUST0486,PROD01,20240901,224688.86,7.97,240,1875.19,175119.32,31,0,Active,0.0235,0.6391,175119.32,2630.09,87720.17
LOAN00164,CUST0628,PROD04,20241025,65982.28,8.74,360,518.61,56144.45,11,60,Defaulted,0.3991,0.3683,56144.45,8252.59,73405.09
LOAN00165,CUST0560,PROD02,20220902,148567.91,13.17,180,1896.39,22878.09,150,30,Active,0.2058,0.5791,22878.09,2726.58,23919.99
LOAN00166,CUST0427,PROD04,20201030,145294.0,8.52,12,12673.86,61870.03,6,0,Active,0.0893,0.548,61870.03,3027.7,9291.22
LOAN00167,CUST0929,PROD03,20201012,441799.97,11.4,180,5133.01,435695.33,2,0,Closed,0.0503,0.4395,435695.33,9631.85,468015.02
LOAN00168,CUST0400,PROD05,20200508,329680.03,10.49,36,10713.85,0.0,36,30,Active,0.2453,0.4113,0.0,0.0,377124.74
LOAN00169,CUST0311,PROD04,20200519,191378.75,11.51,180,2236.88,11189.99,168,30,Active,0.2174,0.5636,11189.99,1371.07,74415.53
LOAN00170,CUST0715,PROD03,20230420,177307.13,12.75,360,1926.78,65239.6,206,0,Closed,0.0232,0.5661,65239.6,856.83,132829.79
LOAN00171,CUST0696,PROD04,20211024,490757.56,14.37,48,13501.94,19821.3,46,0,Closed,0.0728,0.4536,19821.3,654.54,716496.02
LOAN00172,CUST0945,PROD01,20200506,128989.51,7.82,360,930.34,106037.28,37,0,Active,0.01,0.3696,106037.28,391.91,20830.71
LOAN00173,CUST0461,PROD04,20200929,280451.77,9.16,360,2288.94,77750.09,251,0,Active,0.0162,0.6255,77750.09,787.85,340190.33
LOAN00174,CUST0197,PROD01,20230407,316412.25,13.18,12,28287.81,202896.0,3,0,Active,0.0774,0.5273,202896.0,8280.8,410303.39
LOAN00175,CUST0349,PROD02,20231029,250606.86,14.58,240,3222.46,95615.72,146,0,Active,0.09,0.6414,95615.72,5519.51,301328.14
LOAN00176,CUST0450,PROD04,20230704,437618.57,12.34,120,6364.87,366889.35,16,0,Active,0.0231,0.5406,366889.35,4581.66,217224.97
LOAN00177,CUST0230,PROD03,20240823,198261.07,10.54,60,4265.33,16203.23,55,180,NPA,0.95,0.5301,16203.23,8159.87,253733.09
LOAN00178,CUST0955,PROD05,20221021,202613.73,7.98,60,4106.34,53153.48,44,0,Closed,0.0985,0.5613,53153.48,2938.75,9808.95
LOAN00179,CUST0432,PROD03,20210214,444573.88,8.0,84,6929.22,286113.25,26,30,Active,0.2591,0.5653,286113.25,41906.79,585683.97
LOAN00180,CUST0242,PROD04,20200529,452640.31,13.48,360,5177.48,387814.52,18,0,Active,0.0739,0.6717,387814.52,19250.58,602590.06
LOAN00181,CUST0491,PROD02,20210708,56510.3,11.72,12,5013.47,40159.77,3,0,Active,0.085,0.6886,40159.77,2350.59,1817.65
LOAN00182,CUST0057,PROD01,20240503,269422.0,14.81,48,7472.29,26732.82,43,0,Active,0.0387,0.4509,26732.82,466.48,50612.56
LOAN00183,CUST0719,PROD04,20230130,62213.68,8.5,36,1963.93,20281.64,23,0,Closed,0.0238,0.3368,20281.64,162.57,937.84
LOAN00184,CUST0423,PROD05,20230309,495514.67,7.63,12,43019.32,36646.96,11,0,Active,0.0439,0.413,36646.96,664.44,233480.98
