deposit_id,customer_id,product_id,open_date_id,balance,interest_rate,tenure_months,maturity_date,is_active,interest_earned_ytd,branch_code
DEP00030,CUST0234,PROD06,20210320,123275.51,7.2,60,2026-02-22,1,4899.67,BR042
DEP00031,CUST0016,PROD06,20240704,170426.05,4.41,60,2029-06-08,1,1851.61,BR027
DEP00032,CUST0353,PROD09,20221129,193203.05,6.27,12,2023-11-24,1,8617.23,BR024
DEP00033,CUST0517,PROD09,20220713,243114.74,6.38,60,2027-06-17,1,13651.88,BR027
DEP00034,CUST0219,PROD08,20221025,130908.27,5.17,3,2023-01-23,0,5695.7,BR010
DEP00035,CUST0323,PROD08,20210828,187089.08,3.14,6,2022-02-24,1,2316.01,BR005
DEP00036,CUST0921,PROD09,20221214,170051.05,6.29,24,2024-12-03,1,4257.17,BR016
DEP00037,CUST0258,PROD08,20220118,57985.12,6.18,3,2022-04-18,0,870.62,BR017
DEP00038,CUST0452,PROD09,20220826,109069.47,7.08,36,2025-08-10,1,4471.49,BR035
DEP00039,CUST0560,PROD09,20210904,80577.75,5.98,24,2023-08-25,0,824.59,BR043
DEP00040,CUST0133,PROD06,20230705,118423.19,3.54,36,2026-06-19,1,3123.61,BR025
DEP00041,CUST0569,PROD08,20230522,47800.76,4.36,60,2028-04-25,1,951.44,BR007
DEP00042,CUST0673,PROD06,20220911,210428.56,6.06,0,,1,10345.89,BR017
DEP00043,CUST0226,PROD06,20230725,204850.14,2.58,12,2024-07-19,1,1847.82,BR019
DEP00044,CUST0365,PROD07,20230425,197219.19,5.49,6,2023-10-22,1,7980.23,BR020
DEP00045,CUST0278,PROD07,20210313,17747.32,6.48,60,2026-02-15,0,215.07,BR008
DEP00046,CUST0700,PROD08,20210409,57156.86,3.72,6,2021-10-06,0,527.66,BR028
DEP00047,CUST0863,PROD09,20200228,23512.6,6.25,36,2023-02-12,1,1194.21,BR020
DEP00048,CUST0232,PROD08,20210909,150138.99,4.98,36,2024-08-24,1,6223.42,BR046
DEP00049,CUST0424,PROD06,20240211,132905.42,5.03,60,2029-01-15,0,3747.44,BR004
DEP00050,CUST0971,PROD07,20200824,91905.83,5.45,12,2021-08-19,1,1480.7,BR028
DEP00051,CUST0941,PROD07,20221120,32327.11,7.02,24,2024-11-09,1,2172.51,BR014
DEP00052,CUST0220,PROD06,20201124,42261.09,3.65,24,2022-11-14,1,520.81,BR003
DEP00053,CUST0952,PROD09,20200129,72814.51,3.53,0,,1,1950.0,BR048
DEP00054,CUST0899,PROD07,20240621,99387.54,4.82,12,2025-06-16,0,3596.46,BR032
DEP00055,CUST0262,PROD06,20220729,4990.7,4.51,12,2023-07-24,1,103.99,BR001
DEP00056,CUST0689,PROD09,20220212,240607.58,3.2,60,2027-01-17,1,1602.5,BR012
DEP00057,CUST0807,PROD07,20200904,145466.6,7.14,60,2025-08-09,0,9126.36,BR035
DEP00058,CUST0169,PROD09,20230211,197638.98,6.31,3,2023-05-12,0,4181.35,BR014
DEP00059,CUST0614,PROD07,20210208,212696.64,7.03,36,2024-01-24,1,10159.71,BR028
DEP00060,CUST0584,PROD07,20230918,190242.29,7.0,12,2024-09-12,0,1720.76,BR018
DEP00061,CUST0557,PROD08,20210419,24077.93,3.51,36,2024-04-03,1,240.89,BR022
DEP00062,CUST0534,PROD08,20230330,219631.22,5.31,0,,1,11467.68,BR028
DEP00063,CUST0360,PROD06,20201111,241734.45,3.41,0,,0,6383.7,BR030
DEP00064,CUST0571,PROD06,20220828,189406.97,2.59,24,2024-08-17,1,3975.32,BR017
DEP00065,CUST0641,PROD06,20200619,172479.71,6.13,24,2022-06-09,1,9866.14,BR048
DEP00066,CUST0840,PROD08,20230318,233046.68,3.33,24,2025-03-07,1,4265.74,BR049
DEP00067,CUST0203,PROD06,20210303,190884.06,4.55,36,2024-02-16,0,3498.48,BR032
DEP00068,CUST0182,PROD09,20220329,115573.39,5.1,12,2023-03-24,0,2531.56,BR014
DEP00069,CUST0370,PROD09,20200527,52550.35,6.38,0,,0,1110.27,BR039
DEP00070,CUST0075,PROD08,20210326,193720.23,7.48,0,,1,3785.45,BR032
DEP00071,CUST0876,PROD07,20210128,50520.76,5.53,36,2024-01-13,0,2415.44,BR008
DEP00072,CUST0373,PROD06,20200308,23947.23,2.91,24,2022-02-26,1,279.36,BR034
DEP00073,CUST0991,PROD06,20210922,71123.18,6.25,12,2022-09-17,1,2442.42,BR011
DEP00074,CUST0777,PROD06,20210619,248209.31,5.52,0,,1,12024.22,BR034
DEP00075,CUST0974,PROD09,20200718,200156.88,4.42,60,2025-06-22,1,7457.67,BR046
DEP00076,CUST0621,PROD06,20210930,209891.79,7.4,36,2024-09-14,1,6342.71,BR031
DEP00077,CUST0230,PROD06,20220220,113820.25,7.19,12,2023-02-15,0,5725.92,BR025
DEP00078,CUST0463,PROD07,20200315,146216.32,4.47,0,,1,5133.98,BR030
DEP00079,CUST0186,PROD09,20210917,56318.39,3.37,6,2022-03-16,0,1159.36,BR029
DEP00080,CUST0163,PROD08,20220113,155302.25,4.84,36,2024-12-28,1,3199.98,BR044
DEP00081,CUST0455,PROD07,20201117,192171.08,4.94,0,,1,1937.27,BR022
DEP00082,CUST0316,PROD06,20240903,241283.27,5.88,3,2024-12-02,1,10741.91,BR027
DEP00083,CUST0005,PROD09,20221106,85412.76,5.04,36,2025-10-21,0,3352.98,BR003
DEP00084,CUST0951,PROD08,20231011,151435.08,3.5,6,2024-04-08,0,5234.92,BR031
DEP00085,CUST0883,PROD08,20240825,53528.27,5.98,3,2024-11-23,0,1108.91,BR032
DEP00086,CUST0053,PROD07,20220222,50590.76,4.95,60,2027-01-27,0,1733.11,BR049
DEP00087,CUST0896,PROD08,20230502,98730.17,6.86,6,2023-10-29,1,3836.29,BR042
DEP00088,CUST0760,PROD09,20220227,154945.61,6.6,36,2025-02-11,1,9972.82,BR048
DEP00089,CUST0081,PROD08,20211225,210568.84,6.55,3,2022-03-25,1,11975.84,BR017
DEP00090,CUST0885,PROD08,20230819,9501.69,5.69,6,2024-02-15,1,431.0,BR016
DEP00091,CUST0454,PROD09,20201213,150328.69,2.53,36,2023-11-28,1,2705.31,BR048
DEP00092,CUST0537,PROD09,20211006,219684.49,5.71,6,2022-04-04,1,11161.34,BR016
DEP00093,CUST0452,PROD08,20210726,138714.43,7.21,60,2026-06-30,0,5725.54,BR024
DEP00094,CUST0236,PROD07,20210210,182484.59,4.36,12,2022-02-05,1,2131.32,BR039
DEP00095,CUST0124,PROD07,20220413,150408.49,4.01,36,2025-03-28,1,4384.6,BR018
DEP00096,CUST0831,PROD06,20220830,55742.04,3.55,60,2027-08-04,1,353.47,BR001
DEP00097,CUST0740,PROD09,20210323,44581.14,7.45,6,2021-09-19,1,1271.4,BR003
DEP00098,CUST0822,PROD07,20220414,90560.56,3.65,24,2024-04-03,0,2209.62,BR028
DEP00099,CUST0211,PROD07,20210819,231169.06,4.84,36,2024-08-03,0,3802.22,BR026
DEP00100,CUST0885,PROD09,20240306,9817.01,3.59,60,2029-02-08,1,321.8,BR013
DEP00101,CUST0842,PROD09,20210625,28309.11,5.47,60,2026-05-30,1,1142.55,BR049
DEP00102,CUST0590,PROD08,20240802,204021.26,2.77,0,,1,1475.78,BR032
DEP00103,CUST0447,PROD06,20220916,201146.41,3.05,60,2027-08-21,1,1248.38,BR020
DEP00104,CUST0531,PROD08,20230427,220347.48,4.88,36,2026-04-11,0,3031.97,BR013
DEP00105,CUST0242,PROD06,20220524,22255.17,3.76,6,2022-11-20,0,733.02,BR024
DEP00106,CUST0277,PROD09,20221217,147715.51,6.78,0,,1,7028.74,BR050
DEP00107,CUST0657,PROD07,20220419,8410.23,6.3,0,,0,463.43,BR031
DEP00108,CUST0343,PROD09,20240328,117876.1,4.9,36,2027-03-13,1,5471.51,BR039
DEP00109,CUST0187,PROD07,20240112,100082.14,2.97,3,2024-04-11,1,638.0,BR032
DEP00110,CUST0473,PROD08,20220115,149756.31,5.44,6,2022-07-14,1,5946.26,BR014
DEP00111,CUST0932,PROD07,20221017,103100.87,5.0,0,,1,4768.41,BR033
DEP00112,CUST0798,PROD06,20220929,144905.52,6.29,36,2025-09-13,0,7843.26,BR024
DEP00113,CUST0122,PROD06,20240803,107115.29,2.7,0,,0,1662.79,BR049
DEP00114,CUST0551,PROD08,20220622,132961.56,3.84,3,2022-09-20,1,1558.26,BR034
DEP00115,CUST0862,PROD08,20220805,53660.15,7.15,6,2023-02-01,1,2766.61,BR001
DEP00116,CUST0889,PROD08,20210621,155237.67,4.9,24,2023-06-11,1,4966.42,BR013
DEP00117,CUST0121,PROD09,20230208,217349.17,5.03,60,2028-01-13,0,9000.09,BR017
DEP00118,CUST0252,PROD06,20220526,123365.75,5.1,36,2025-05-10,1,5998.14,BR018
DEP00119,CUST0911,PROD06,20230202,140711.07,5.36,6,2023-08-01,1,916.82,BR012
DEP00120,CUST0996,PROD06,20220802,156770.16,4.36,0,,1,1634.04,BR040
DEP00121,CUST0640,PROD06,20200911,185932.68,3.29,60,2025-08-16,1,5560.76,BR039
DEP00122,CUST0971,PROD09,20220219,49360.49,2.61,24,2024-02-09,1,1184.25,BR023
DEP00123,CUST0871,PROD09,20211223,66551.93,2.52,3,2022-03-23,1,832.1,BR042
DEP00124,CUST0608,PROD06,20240703,88628.29,6.53,60,2029-06-07,1,4768.14,BR044
DEP00125,CUST0475,PROD07,20201130,6926.12,3.23,36,2023-11-15,1,65.66,BR036
DEP00126,CUST1000,PROD08,20200109,5986.92,3.14,0,,1,137.2,BR049
DEP00127,CUST0710,PROD09,20221125,32015.64,7.04,6,2023-05-24,1,1811.2,BR003
DEP00128,CUST0581,PROD07,20200424,227431.09,4.23,24,2022-04-14,1,7099.18,BR014
DEP00129,CUST0938,PROD08,20220627,189243.55,4.93,12,2023-06-22,1,5861.12,BR034
DEP00130,CUST0964,PROD07,20210708,207841.41,4.15,36,2024-06-22,1,2700.03,BR007
DEP00131,CUST0384,PROD06,20230102,39625.1,3.23,36,2025-12-17,1,1008.84,BR009
DEP00132,CUST0448,PROD08,20241010,33310.28,4.28,0,,1,379.52,BR024
DEP00133,CUST0374,PROD09,20231105,104991.28,5.14,24,2025-10-25,1,2174.21,BR022
DEP00134,CUST0606,PROD06,20210514,13882.58,5.07,24,2023-05-04,0,531.5,BR040
DEP00135,CUST0337,PROD08,20210620,185564.44,4.77,0,,1,1003.78,BR046
DEP00136,CUST0781,PROD08,20221115,138824.43,5.43,0,,1,5754.52,BR033
DEP00137,CUST0586,PROD07,20230902,64199.26,4.54,6,2024-02-29,1,914.02,BR022
DEP00138,CUST0028,PROD09,20241008,103536.84,7.15,6,2025-04-06,1,4746.74,BR050
DEP00139,CUST0957,PROD07,20220124,215305.21,5.04,0,,1,6044.34,BR046
DEP00140,CUST0138,PROD07,20220703,109940.5,4.15,12,2023-06-28,0,3033.29,BR032
DEP00141,CUST0279,PROD08,20230322,218533.01,4.35,36,2026-03-06,1,2030.25,BR033
DEP00142,CUST0459,PROD07,20241009,72470.29,5.43,60,2029-09-13,1,2102.44,BR031
DEP00143,CUST0631,PROD06,20200204,123618.22,6.05,60,2025-01-08,1,6756.71,BR039
DEP00144,CUST0292,PROD08,20230311,172153.25,4.58,6,2023-09-07,1,3885.06,BR009
DEP00145,CUST0203,PROD08,20240602,105732.49,6.73,0,,1,2824.28,BR038
DEP00146,CUST0227,PROD08,20200302,232567.24,6.38,12,2021-02-25,0,5002.66,BR047
DEP00147,CUST0811,PROD06,20220208,75630.9,6.41,60,2027-01-13,1,2626.31,BR044
DEP00148,CUST0495,PROD09,20220108,49737.43,2.81,6,2022-07-07,1,1332.76,BR045
DEP00149,CUST0643,PROD07,20210719,26253.13,7.03,36,2024-07-03,1,277.38,BR019
DEP00150,CUST0984,PROD08,20211119,139143.25,6.45,6,2022-05-18,1,5925.47,BR022
DEP00151,CUST0910,PROD08,20220610,200454.32,7.29,12,2023-06-05,1,4138.2,BR043
DEP00152,CUST0496,PROD09,20220429,127489.17,5.3,60,2027-04-03,1,5289.08,BR020
DEP00153,CUST0823,PROD06,20200302,125934.15,6.3,0,,1,2228.07,BR031
DEP00154,CUST0091,PROD08,20211106,170282.89,5.3,60,2026-10-11,1,1661.87,BR046
DEP00155,CUST0593,PROD09,20230409,58262.64,4.45,12,2024-04-03,1,2075.69,BR040
DEP00156,CUST0699,PROD07,20241117,17607.5,5.9,0,,1,708.08,BR002
DEP00157,CUST0091,PROD06,20220124,93265.48,6.31,3,2022-04-24,1,1080.21,BR024
DEP00158,CUST0862,PROD07,20201220,11405.76,4.53,0,,1,335.83,BR013
DEP00159,CUST0703,PROD07,20231220,54674.81,5.35,3,2024-03-19,0,1838.99,BR012
DEP00160,CUST0932,PROD06,20230925,167443.25,3.68,24,2025-09-14,0,3493.09,BR042
DEP00161,CUST0975,PROD06,20230220,133307.8,3.56,6,2023-08-19,1,4543.27,BR029
DEP00162,CUST0533,PROD06,20240321,189102.29,6.36,12,2025-03-16,0,3892.14,BR018
DEP00163,CUST0902,PROD07,20240222,2471.58,3.66,24,2026-02-11,1,24.16,BR012
DEP00164,CUST0761,PROD09,20220609,73379.45,3.89,36,2025-05-24,0,1074.02,BR002
DEP00165,CUST0264,PROD09,20230820,139921.9,6.33,60,2028-07-24,1,6956.89,BR039
DEP00166,CUST0841,PROD09,20220412,60284.66,5.47,36,2025-03-27,1,1867.93,BR044
DEP00167,CUST0710,PROD09,20220627,206284.81,4.01,24,2024-06-16,1,3143.29,BR034
DEP00168,CUST0457,PROD06,20210918,233099.87,3.79,60,2026-08-23,1,8697.39,BR037
DEP00169,CUST0632,PROD08,20210525,23416.94,4.14,60,2026-04-29,0,448.9,BR042
DEP00170,CUST0148,PROD07,20230613,70147.61,7.21,36,2026-05-28,0,4111.94,BR038
DEP00171,CUST0778,PROD06,20240930,139102.07,5.33,12,2025-09-25,1,5850.54,BR038
DEP00172,CUST0398,PROD09,20220506,167084.15,6.54,0,,1,7596.22,BR035
DEP00173,CUST0187,PROD07,20230326,195484.82,3.23,36,2026-03-10,1,2144.67,BR036
DEP00174,CUST0503,PROD07,20210115,225877.32,3.63,3,2021-04-15,1,4406.11,BR036
DEP00175,CUST0793,PROD08,20200419,245321.49,5.88,0,,1,8124.29,BR032
DEP00176,CUST0942,PROD08,20231218,220871.05,5.1,6,2024-06-15,0,6210.06,BR004
DEP00177,CUST0951,PROD08,20240531,82760.74,5.42,36,2027-05-16,1,3176.73,BR029
DEP00178,CUST0679,PROD09,20230827,204951.77,7.08,6,2024-02-23,0,8012.37,BR036
DEP00179,CUST0694,PROD06,20200420,221729.75,4.19,60,2025-03-25,1,8592.83,BR041
DEP00180,CUST0767,PROD09,20230827,106375.1,5.7,24,2025-08-16,1,1778.7,BR027
DEP00181,CUST0938,PROD07,20201205,116989.59,4.34,0,,1,4904.29,BR023
DEP00182,CUST0198,PROD08,20240625,63672.11,2.71,6,2024-12-22,1,308.87,BR044
DEP00183,CUST0523,PROD09,20220626,62889.97,6.08,60,2027-05-31,1,854.83,BR016
DEP00184,CUST0334,PROD06,20230717,143822.5,5.36,24,2025-07-06,1,5423.99,BR043
DEP00185,CUST0023,PROD08,20220417,93829.51,3.01,3,2022-07-16,1,2517.02,BR036
DEP00186,CUST0328,PROD06,20230117,22353.87,3.82,3,2023-04-17,1,725.54,BR046
DEP00187,CUST0577,PROD09,20220516,102983.77,7.48,3,2022-08-14,0,5426.56,BR045
DEP00188,CUST0734,PROD06,20240515,70147.73,3.54,24,2026-05-05,1,251.82,BR003
DEP00189,CUST0943,PROD06,20240217,205956.74,2.72,6,2024-08-15,1,1200.06,BR006
DEP00190,CUST0542,PROD08,20211216,115052.45,6.69,60,2026-11-20,1,4790.16,BR050
DEP00191,CUST0417,PROD08,20230619,149850.19,4.17,3,2023-09-17,0,731.42,BR012
DEP00192,CUST0360,PROD09,20200714,239390.85,6.51,3,2020-10-12,1,14231.77,BR033
DEP00193,CUST0842,PROD07,20200401,78371.76,6.84,36,2023-03-17,0,2847.68,BR048
DEP00194,CUST0737,PROD08,20200909,55595.91,4.64,0,,1,2340.8,BR009
DEP00195,CUST0112,PROD09,20230130,147124.66,3.94,60,2028-01-04,1,4873.85,BR008
DEP00196,CUST0290,PROD09,20210504,241623.45,3.27,6,2021-10-31,1,1378.08,BR009
DEP00197,CUST0455,PROD08,20210524,200062.56,3.4,12,2022-05-19,0,2831.39,BR003
DEP00198,CUST0180,PROD07,20210216,100725.69,7.02,6,2021-08-15,1,3953.88,BR027
DEP00199,CUST0782,PROD07,20210528,113695.45,4.16,3,2021-08-26,0,2417.9,BR009
DEP00200,CUST0916,PROD06,20231013,60867.59,5.65,12,2024-10-07,1,789.52,BR047
DEP00201,CUST0322,PROD06,20200116,2422.06,7.3,36,2022-12-31,0,105.18,BR003
DEP00202,CUST0437,PROD06,20211015,115858.92,2.88,0,,1,583.62,BR034
DEP00203,CUST0094,PROD09,20220718,217440.37,5.49,60,2027-06-22,1,11634.92,BR024
DEP00204,CUST0819,PROD07,20230322,200963.98,6.3,3,2023-06-20,1,8440.65,BR024
DEP00205,CUST0280,PROD08,20240212,145899.03,4.1,0,,0,2379.36,BR004
DEP00206,CUST0918,PROD09,20230406,74551.6,3.23,0,,1,310.3,BR018
DEP00207,CUST0181,PROD09,20231031,66634.15,6.25,60,2028-10-04,1,2770.61,BR044
DEP00208,CUST0339,PROD06,20230320,6625.18,6.1,6,2023-09-16,1,351.83,BR042
DEP00209,CUST0928,PROD06,20211023,177668.67,5.22,0,,1,1749.82,BR039
DEP00210,CUST0227,PROD07,20210805,98142.01,4.33,3,2021-11-03,1,4175.05,BR013
DEP00211,CUST0783,PROD07,20200114,79269.45,6.04,6,2020-07-12,1,1312.63,BR045
DEP00212,CUST0892,PROD06,20200106,144620.91,5.2,6,2020-07-04,1,3497.37,BR017
DEP00213,CUST0239,PROD09,20220708,8734.71,5.73,0,,0,54.88,BR048
DEP00214,CUST0277,PROD09,20200505,28274.12,3.42,36,2023-04-20,1,576.92,BR044
DEP00215,CUST0855,PROD07,20241101,53436.29,7.06,60,2029-10-06,0,691.45,BR042
DEP00216,CUST0861,PROD08,20220218,132531.94,4.77,24,2024-02-08,0,2765.64,BR023
DEP00217,CUST0619,PROD06,20221007,237984.02,3.68,36,2025-09-21,1,1116.39,BR045
DEP00218,CUST0071,PROD06,20231105,87116.74,4.32,60,2028-10-09,1,2999.49,BR039
DEP00219,CUST0788,PROD07,20210521,179509.88,2.87,24,2023-05-11,1,5128.87,BR025
DEP00220,CUST0295,PROD09,20200227,130023.48,6.07,6,2020-08-25,1,1095.82,BR023
DEP00221,CUST0722,PROD08,20241116,89058.34,3.25,36,2027-11-01,1,1776.7,BR024
DEP00222,CUST0479,PROD06,20230921,124617.01,7.2,12,2024-09-15,1,951.4,BR017
DEP00223,CUST0402,PROD07,20241115,3581.32,5.19,36,2027-10-31,1,89.75,BR042
DEP00224,CUST0965,PROD07,20220710,28109.53,5.81,3,2022-10-08,0,201.63,BR009
DEP00225,CUST0955,PROD09,20240601,185034.41,7.3,0,,0,7581.49,BR002
DEP00226,CUST0758,PROD06,20200224,247469.9,6.93,60,2025-01-28,1,8444.58,BR001
DEP00227,CUST0602,PROD06,20230422,69945.37,5.36,60,2028-03-26,1,2580.53,BR004
DEP00228,CUST0051,PROD07,20201005,125148.74,4.53,3,2021-01-03,1,2325.82,BR043
DEP00229,CUST0683,PROD09,20220810,205908.52,6.76,60,2027-07-15,1,2452.1,BR043
DEP00230,CUST0603,PROD09,20201001,174566.33,5.03,0,,1,5328.57,BR028
DEP00231,CUST0664,PROD09,20210918,108786.52,7.32,12,2022-09-13,1,5352.57,BR039
DEP00232,CUST0371,PROD09,20231125,199640.15,5.93,24,2025-11-14,1,2774.59,BR023
DEP00233,CUST0887,PROD06,20210223,92414.53,3.7,36,2024-02-08,0,2794.87,BR047
DEP00234,CUST0544,PROD07,20211221,11698.5,4.98,0,,0,303.11,BR018
DEP00235,CUST0901,PROD09,20230801,118484.48,4.32,0,,1,3878.52,BR032
DEP00236,CUST0745,PROD09,20210620,127643.21,7.22,6,2021-12-17,0,4663.35,BR016
DEP00237,CUST0383,PROD08,20230902,137741.49,3.58,3,2023-12-01,1,2208.98,BR038
DEP00238,CUST0605,PROD09,20240319,31486.84,4.25,60,2029-02-21,1,1148.33,BR040
DEP00239,CUST0205,PROD06,20231128,95301.55,3.77,36,2026-11-12,1,840.13,BR032
DEP00240,CUST0115,PROD06,20230310,105347.06,5.43,3,2023-06-08,1,2474.65,BR044
DEP00241,CUST0039,PROD07,20230708,19537.29,6.32,12,2024-07-02,1,167.49,BR042
DEP00242,CUST0403,PROD07,20221121,199561.67,6.12,12,2023-11-16,1,3773.0,BR022
DEP00243,CUST0864,PROD08,20201230,106169.66,3.36,3,2021-03-30,1,2846.69,BR032
DEP00244,CUST0260,PROD09,20221029,31410.58,3.43,3,2023-01-27,0,680.69,BR043
DEP00245,CUST0604,PROD07,20210817,186629.14,3.11,3,2021-11-15,1,4762.78,BR009
DEP00246,CUST0593,PROD07,20200618,110403.8,4.8,12,2021-06-13,1,4849.46,BR001
DEP00247,CUST0813,PROD07,20230308,162930.15,5.93,60,2028-02-10,0,4214.16,BR049
DEP00248,CUST0660,PROD06,20211009,81751.36,4.91,36,2024-09-23,0,3019.7,BR050
DEP00249,CUST0866,PROD06,20220728,75513.57,2.87,3,2022-10-26,1,629.61,BR042
DEP00250,CUST0327,PROD07,20211217,62284.95,7.12,0,,1,3197.15,BR032
DEP00251,CUST0361,PROD06,20241021,147108.82,7.0,12,2025-10-16,1,1494.67,BR018
DEP00252,CUST0528,PROD06,20240210,196910.81,4.4,36,2027-01-25,1,4380.87,BR023
DEP00253,CUST0428,PROD07,20230606,64517.22,3.5,0,,0,1314.8,BR030
DEP00254,CUST1000,PROD06,20240709,130453.12,4.08,0,,0,3275.28,BR018
DEP00255,CUST0234,PROD08,20210628,200565.44,2.8,36,2024-06-12,1,640.64,BR010
DEP00256,CUST0879,PROD09,20240515,187294.0,4.87,24,2026-05-05,1,3775.52,BR038
DEP00257,CUST0154,PROD06,20200103,27147.65,5.12,0,,0,903.7,BR040
DEP00258,CUST0657,PROD06,20210314,239866.61,6.31,60,2026-02-16,1,6549.77,BR021
DEP00259,CUST0216,PROD08,20240619,125947.89,5.67,0,,1,2802.62,BR032
DEP00260,CUST0039,PROD07,20210905,114784.86,4.48,36,2024-08-20,1,4543.71,BR027
DEP00261,CUST0294,PROD07,20220226,47250.42,6.66,6,2022-08-25,1,1118.55,BR011
DEP00262,CUST0004,PROD07,20200909,207716.97,4.21,6,2021-03-08,0,5777.62,BR045
DEP00263,CUST0174,PROD07,20230921,62864.66,3.92,12,2024-09-15,1,1911.49,BR016
DEP00264,CUST0683,PROD08,20210414,69410.61,4.42,0,,1,2607.39,BR017
DEP00265,CUST0484,PROD06,20240116,165666.79,4.59,60,2028-12-20,1,7099.98,BR034
DEP00266,CUST0874,PROD06,20200415,110653.47,7.48,6,2020-10-12,1,3741.68,BR022
DEP00267,CUST0137,PROD06,20210615,158285.51,6.19,36,2024-05-30,1,983.8,BR011
DEP00268,CUST0170,PROD08,20230720,27120.17,4.19,0,,0,639.91,BR039
DEP00269,CUST0346,PROD09,20210602,166282.16,2.93,36,2024-05-17,1,1670.3,BR013
DEP00270,CUST0224,PROD07,20220609,98320.4,6.15,0,,1,3423.04,BR039
DEP00271,CUST0820,PROD06,20211104,226245.31,5.98,6,2022-05-03,1,6701.42,BR040
DEP00272,CUST0102,PROD08,20240128,118624.27,3.35,0,,1,1032.86,BR020
DEP00273,CUST0607,PROD07,20201214,21868.27,5.42,0,,1,812.34,BR011
DEP00274,CUST0585,PROD08,20221028,28669.31,3.05,0,,1,257.74,BR033
DEP00275,CUST0985,PROD08,20231121,175966.45,7.01,24,2025-11-10,1,7677.94,BR019
DEP00276,CUST0876,PROD07,20220424,80701.13,2.53,0,,1,1712.43,BR002
DEP00277,CUST0111,PROD09,20210910,222562.37,3.26,24,2023-08-31,1,5308.56,BR028
DEP00278,CUST0634,PROD09,20220405,91314.79,3.99,0,,1,1883.73,BR039
DEP00279,CUST0128,PROD07,20230917,96703.48,6.93,6,2024-03-15,1,6177.67,BR020
DEP00280,CUST0980,PROD08,20231122,159996.46,3.12,6,2024-05-20,1,4074.91,BR047
DEP00281,CUST0117,PROD06,20200713,25044.3,2.81,6,2021-01-09,1,208.28,BR023
DEP00282,CUST0413,PROD07,20210427,72810.02,5.22,36,2024-04-11,1,2867.77,BR010
DEP00283,CUST0903,PROD08,20220319,43951.76,4.47,60,2027-02-21,1,1309.94,BR050
DEP00284,CUST0162,PROD06,20201012,78627.11,7.19,60,2025-09-16,1,1373.94,BR035
DEP00285,CUST0435,PROD09,20240626,10318.96,4.74,12,2025-06-21,1,185.79,BR009
